index,character,episode,line,season,show,characters_spoken,words_spoken
78,Jerry,1,"  Ooohhhh, what are you doing? Kramer, it's a tape!                I taped the game,               it's one o'clock in the morning! I avoided human contact all night               to watch this.",1,Seinfeld,194,28
79,Kramer,1," Hey, I'm sorry, I...ya know, I, I thought you knew... You got any meat?",1,Seinfeld,72,14
80,Jerry,1,"  Meat? I don't, I don't know, go...hunt!                Well what,               what happened in the game anyway?",1,Seinfeld,115,15
81,Kramer,1,"  What happened?               Well, they STUNK, that's what happened!  Ya know, I almost wound up going to               that game.",1,Seinfeld,132,18
82,Jerry,1,  Yeah you almost went to the game. You haven't               been out of the building in ten years!,1,Seinfeld,100,17
83,Jerry,1, No.,1,Seinfeld,4,1
84,Kramer,1,"  When you're done, let me know.",1,Seinfeld,32,6
85,Jerry,1," Yeah, yeah...you can have it tomorrow.",1,Seinfeld,39,6
86,Kramer,1, I thought I wasn't allowed to be in here this weekend.,1,Seinfeld,55,11
87,Jerry,1," No, it's OK now, that, that girl is not comin' uh, I, I               misread the whole thing.",1,Seinfeld,95,17
88,Kramer,1, You want me to talk to her?,1,Seinfeld,28,7
89,Jerry,1, I don't think so.,1,Seinfeld,18,4
90,Kramer,1," Oh, I can be very persuasive. Do you know that I was almost...               a lawyer. ",1,Seinfeld,88,15
91,Jerry,1," That close, huh?",1,Seinfeld,17,3
92,Kramer,1, You better believe it. ,1,Seinfeld,24,4
93,Jerry,1," Hello...Oh, hi, Laura.",1,Seinfeld,23,3
94,Kramer,1, Give me it...let me talk to her .,1,Seinfeld,34,8
95,Jerry,1,"  No believe me, I'm always up               at this hour. How are you?...great...sure...What time does the plane               get in?...I got my friend George to take me......",1,Seinfeld,177,25
96,Kramer,1, A SLIDE!...Wow!,1,Seinfeld,16,2
98,Jerry,1," If my father was moving this he'd had to have a cigarette               in his mouth the whole way.  Have you got your end?...Your end's got to come down               first, easy now, drop it down...drop it down, your end's got to               come down.",1,Seinfeld,257,42
99,George,1," Ya know, I can't believe you're bringin' in an extra bed               for woman, that wants to sleep with you. Why don't you bring in               an extra guy too? ",1,Seinfeld,168,28
100,Jerry,1,"  Look, it's a very awkward situation,               I, I don't wanna be presumptuous.",1,Seinfeld,86,12
101,George,1," All right, all right, one more time, one more time! What               was the EXACT phrasing of the request?",1,Seinfeld,110,18
102,Jerry,1," All right, she said she couldn't find a decent hotel- room...",1,Seinfeld,62,11
103,George,1, A decent hotel-room...,1,Seinfeld,23,3
104,Jerry,1," Yeah, a decent hotel-room, would it be terribly inconvenient               if she stayed at my place.",1,Seinfeld,102,15
105,Jerry,1,"  This is the signal. Thank you, mister Signal,               where were you yesterday?",1,Seinfeld,87,12
106,George,1," I think I was affected by the caffeine.  HO, HO, HO,               GOOD DOG ",1,Seinfeld,77,13
107,Kramer,1,"  He really               likes you, George.",1,Seinfeld,44,5
108,George,1,"  Well, that's flattering. ",1,Seinfeld,27,3
109,Kramer,1,"  Oh, he's getting' a drink of water.  Is this for that girl?",1,Seinfeld,61,12
110,Jerry,1, Yeah.,1,Seinfeld,6,1
111,Kramer,1, Why even give her an option?,1,Seinfeld,29,6
112,George,1," Right, can we go? 'Cause I'm double-parked, I'm gonna get               a ticket.",1,Seinfeld,82,12
113,Jerry,1," Yeah, OK. Oh, wait a second. Oh, I, I forgot to clean the               bathroom.",1,Seinfeld,82,14
114,George,1, So what? That's good.,1,Seinfeld,22,4
115,Jerry,1," Now, how could that be good?",1,Seinfeld,29,6
116,Jerry,1, This is how you operate?,1,Seinfeld,25,5
117,George,1," Yeah, I wish.",1,Seinfeld,14,3
118,Jerry,1, Let me just wipe the sink.,1,Seinfeld,27,6
119,Kramer,1,  WHY EVEN GIVE HER               AN OPTION FOR?  It's unbelievable.,1,Seinfeld,68,9
120,George,1, Yeah.,1,Seinfeld,6,1
121,Kramer,1, ...How's the real estate-business?,1,Seinfeld,35,4
122,George,1,"... It's uh, not bad, it's comin' along...Why?               Did you need something.",1,Seinfeld,84,12
123,Kramer,1, Do you handle any of that commercial...real estate?,1,Seinfeld,52,8
124,George,1," Well, I might be getting in to that.",1,Seinfeld,37,8
125,Kramer,1,  You keep me posted!,1,Seinfeld,21,4
126,George,1," I'm aware of you, all right, let's go , let's go!  You're on stage in               25 minutes.",1,Seinfeld,96,17
129,Jerry,1, Wouldn't it be great if you could ask a woman what she's               thinking?,1,Seinfeld,81,13
130,George,1," What a world that would be, if you just could ask a woman               what she's thinkin'.",1,Seinfeld,93,16
131,George,1," Listen, listen, don't get worked up, 'cause you're gonna               know the whole story the minute she steps off the plane.",1,Seinfeld,128,20
132,Jerry,1, Really? How?,1,Seinfeld,13,2
133,George,1, 'Cause it's all in the greeting. ,1,Seinfeld,34,6
134,Jerry,1, Uh-huh.,1,Seinfeld,8,1
135,George,1," All right, if she puts the bags down before she greets               you, that's a good sign.",1,Seinfeld,94,16
136,Jerry,1, Right.,1,Seinfeld,7,1
137,George,1," Ya know, anything in the, in the ""lip-area"" is               good.",1,Seinfeld,67,10
138,Jerry,1," ""Lip-area"".",1,Seinfeld,12,1
139,Jerry,1, Hug is definitely good.,1,Seinfeld,24,4
140,George,1, Sure.,1,Seinfeld,6,1
141,Jerry,1," Although what if it's one of those hugs where the shoulders               are touching, the hips are eight feet apart?",1,Seinfeld,119,19
142,George,1," That's so brutal, I hate that.",1,Seinfeld,31,6
143,Jerry,1, Ya know how they do that?,1,Seinfeld,26,6
144,George,1," That's why, ya know, a shake is bad.",1,Seinfeld,37,8
145,Jerry,1," Shake is bad, but what if it's the ""two-hander""?               The hand on the bottom, the hand on the top, the warm look in the               eyes?",1,Seinfeld,149,25
146,George,1, Hand-sandwich.,1,Seinfeld,15,1
147,Jerry,1, Right.,1,Seinfeld,7,1
148,George,1," I see, well, that's open to interpretation. Because so               much depends on the layering and the quality of the wetness in the               eyes...",1,Seinfeld,158,23
150,Jerry,1," Hey, hey.",1,Seinfeld,10,2
152,Jerry,1, It's good to see you.,1,Seinfeld,22,5
154,Jerry,1, This is my friend George.,1,Seinfeld,26,5
156,George,1," Hi, how are you?",1,Seinfeld,17,4
157,Jerry,1, This is Laura.,1,Seinfeld,15,3
158,George,1," Laura, sure.",1,Seinfeld,13,2
159,Jerry,1,  I can't believe you're here.,1,Seinfeld,30,5
162,Jerry,1,"  Now that was an interesting greeting,               did you notice that, George?",1,Seinfeld,82,11
163,George,1," Yes, the ""surprise-blindfold-greeting"". That               wasn't in the manual, I don't know.",1,Seinfeld,95,11
165,Jerry,1," So uh, what do ya think?",1,Seinfeld,25,6
167,Jerry,1," Yeah, it kind a motivates me to work on the road...So uh,               make yourself at home.  So uh, can I get               you anything? Uuhhh, bread, water...salad-dressing?",1,Seinfeld,179,26
170,Jerry,1," Uh, no, yeah, go right ahead. ",1,Seinfeld,31,6
171,Jerry,1," Uh, yeah, yeah, sure, why don't you stay? Yeah, uhm...What               is your, what is your schedule for tomorrow? Are you, are you doin'               anything?",1,Seinfeld,165,24
173,Jerry,1, Really? What would you like to do?,1,Seinfeld,35,7
175,Jerry,1,"  Yeah, we could do that...why not, why not.                I'm just, I'm really glad you're here.  Yeah, hello...yes...yes, she is, hold on.                Uhm, it's for you.",1,Seinfeld,175,25
177,Jerry,1, You're engaged?,1,Seinfeld,16,2
179,Jerry,1, You're engaged? ,1,Seinfeld,17,2
181,Jerry,1, You're engaged! ,1,Seinfeld,17,2
183,Jerry,1, Yeah.,1,Seinfeld,6,1
185,Jerry,1, Me too!,1,Seinfeld,8,2
192,Jerry,2," So, I'm on line at the supermarket. Two women in front of               me. One of",1,Seinfeld,83,15
194,Jerry,2," Cheque. Now, the fact is, if it's a woman in front of you               that's",1,Seinfeld,79,14
196,Jerry,2, What's that one?,1,Seinfeld,17,3
197,Jerry,2," Maybe they came back for Chinese food. Y'know Maureen Stapleton,               if",1,Seinfeld,82,11
198,Elaine,2," Okay, what're we doing here? I have seen *everything*.",1,Seinfeld,55,9
199,Jerry,2, Oh yeah? I don't believe you've seen... this.,1,Seinfeld,46,8
200,Elaine,2," Oh, lovely...",1,Seinfeld,14,2
201,Jerry,2, Yeah...,1,Seinfeld,8,1
202,Elaine,2, What do you think their parents think?,1,Seinfeld,39,7
203,Jerry,2," ""So, uh, what's your son doing now, Dr. Stevens?""",1,Seinfeld,50,9
204,Elaine,2, Y'know what? This would be a really funny gift for Pamela's             ,1,Seinfeld,73,11
205,Jerry,2, Pamela? Do I know her?,1,Seinfeld,23,5
206,Elaine,2," Yeah, you met her when we were going out.",1,Seinfeld,42,9
207,Jerry,2," Oh yeah, right...",1,Seinfeld,18,3
208,Elaine,2," You have *no* idea who I'm talking about, do you?",1,Seinfeld,50,10
209,Jerry,2,  No.,1,Seinfeld,5,1
210,Elaine,2, Blonde hair remember? Glasses?  Have you *totally*               blocked,1,Seinfeld,73,8
211,Jerry,2, Riverside Drive.,1,Seinfeld,17,2
212,Elaine,2," Right! In fact... No, never mind...",1,Seinfeld,36,6
213,Jerry,2," Well, what is it?",1,Seinfeld,18,4
214,Elaine,2," Well, a bunch of people are getting together tomorrow night               at some",1,Seinfeld,82,12
215,Jerry,2," Wait a second, wait a second. We could work out a little               deal here.",1,Seinfeld,82,14
216,Elaine,2, What little deal?,1,Seinfeld,18,3
217,Jerry,2," I will go to that, if you go with me to a little family               wedding I ",1,Seinfeld,81,16
218,Elaine,2," A *wedding*!? Have you *lost* it, man?",1,Seinfeld,39,7
219,Jerry,2," Y'know, my parents are coming in for this...",1,Seinfeld,45,8
220,Elaine,2, They're coming in?,1,Seinfeld,19,3
221,Jerry,2," Yeah, tomorrow.",1,Seinfeld,16,2
222,Elaine,2," Hey, did your father ever get that hair weave?",1,Seinfeld,47,9
223,Jerry,2," No, no... Still doin' the big *sweep* across.",1,Seinfeld,46,8
224,Elaine,2, Why does he do that?,1,Seinfeld,21,5
225,Jerry,2, Doesn't think anyone can tell?,1,Seinfeld,31,5
226,Jerry,2," So c'mon, do we have a deal?",1,Seinfeld,29,7
227,Elaine,2, A *wedding*?,1,Seinfeld,13,2
228,Jerry,2, There's a lot of people to mock...,1,Seinfeld,35,7
229,Elaine,2," Alright, what the Hell.",1,Seinfeld,24,4
230,Jerry,2, Great!,1,Seinfeld,7,1
232,Elaine,2," C'mon lets go, c'mon...",1,Seinfeld,24,4
233,Jerry,2, Was I supposed to bring something?,1,Seinfeld,35,6
234,Elaine,2, You could have.,1,Seinfeld,16,3
235,Jerry,2, I met her *one* time...,1,Seinfeld,24,5
236,Elaine,2, It is not necessary.,1,Seinfeld,21,4
237,Jerry,2, What did you say then?,1,Seinfeld,23,5
238,Elaine,2, Sssshhhhhh!!!,1,Seinfeld,14,1
240,Elaine,2," Hi Pamela, you remember Jerry.",1,Seinfeld,31,5
242,Jerry,2," Hi, happy birthday.",1,Seinfeld,20,3
245,Jerry,2, I didn't bring anything.,1,Seinfeld,25,4
247,Jerry,2," Oh, Okay  I'm sorry, I didn't know               what",1,Seinfeld,54,8
250,Jerry,2, I'm in for five...,1,Seinfeld,19,4
252,Jerry,2,  Uh-oh... What do we have here...,1,Seinfeld,34,6
254,Jerry,2," Oh, I can't-- I have a tendency to get chilly.",1,Seinfeld,47,10
256,Jerry,2," Plus I'm wearing short sleeves, I don't want to expose my               tattoos.",1,Seinfeld,81,12
259,Jerry,2,"  What's going on here? Gotta be her boyfriend,               she's",1,Seinfeld,67,9
261,Jerry,2, Friend of a friend. And you?,1,Seinfeld,29,6
263,Elaine,2," Oh, Jerry!",1,Seinfeld,11,2
264,Jerry,2,"  Oh no, not *now*...",1,Seinfeld,21,4
265,Elaine,2, I had this dream last night and you were in it.,1,Seinfeld,48,11
266,Jerry,2," Oh really...  Oh God, I gotta get out of this...",1,Seinfeld,49,10
267,Elaine,2," You were you, but, you weren't you...",1,Seinfeld,38,7
268,Jerry,2," No kidding...  Why is this happening? Please,               make ",1,Seinfeld,66,8
269,Elaine,2," I think, I think we were in my house where I grew up, and               you were ",1,Seinfeld,82,16
270,Jerry,2,  This is *brutal*...,1,Seinfeld,21,3
271,Elaine,2, You turned around and you had these wooden teeth...,1,Seinfeld,52,9
272,Jerry,2, How do you like that...  Can I turn now? Is               this ,1,Seinfeld,64,11
273,Elaine,2, Jerry? Are you listening to me?,1,Seinfeld,32,6
274,Jerry,2," Yes, I *heard* you.",1,Seinfeld,20,4
276,Jerry,2,"  Thank *you*, Pamela!",1,Seinfeld,22,3
277,Jerry,2,"  So, you're a lawyer...",1,Seinfeld,24,4
279,Jerry,2,"  Sagman, Bennet, Robbins, Oppenheim               and Taft. ",1,Seinfeld,61,6
281,Jerry,2," Imagine, spelling ""Mom"" with two O's...",1,Seinfeld,40,6
283,Jerry,2, Comedian.,1,Seinfeld,10,1
285,Jerry,2,"  Sagman, Bennet, Robbins, Oppenheim               and Taft.",1,Seinfeld,60,6
288,Jerry,2,  I can't believe it-- I got *nothing*! I don't               even ,1,Seinfeld,67,10
289,Jerry,2,"  Sagman, Bennet, Robbins, Oppenheim               and ",1,Seinfeld,55,5
290,Jerry,2," That wasn't so bad, really...",1,Seinfeld,30,5
291,Elaine,2," Y'know, uh, you could use a little work on your manners.",1,Seinfeld,57,11
292,Jerry,2, Why? What did I do?,1,Seinfeld,20,5
293,Elaine,2," Well, I just don't appreciate these little ""courtesy               responses"", ",1,Seinfeld,80,9
294,Jerry,2, I was listening!,1,Seinfeld,17,3
295,Elaine,2," No! You couldn't wait to get back to your little... ""conversation"".",1,Seinfeld,68,11
296,Jerry,2," No, you were talking about the, the um, the dream you had.",1,Seinfeld,59,12
297,Elaine,2, Uh-huh...,1,Seinfeld,10,1
298,Jerry,2," Where you had, uh, wooden teeth.",1,Seinfeld,33,6
299,Elaine,2, No! No! *You* had wooden teeth! *You* had wooden teeth!               *I* ,1,Seinfeld,75,11
300,Jerry,2," Alright, so *I* had wooden teeth, so what?",1,Seinfeld,43,8
301,Elaine,2, So nothing... Nothing...,1,Seinfeld,25,3
302,Jerry,2," Apparently Plato, who came up with the concept of the platonic             ",1,Seinfeld,76,11
304,Jerry,2, Hey!,1,Seinfeld,5,1
306,Jerry,2," This is what I like, see? You come home and your parents               are in your",1,Seinfeld,83,15
308,Jerry,2," What are you talkin' about? It's fine, I love having you               here...",1,Seinfeld,79,12
310,Jerry,2," Ma, will you stop?",1,Seinfeld,19,4
312,Jerry,2, I don't care-- I'm sleeping next door.,1,Seinfeld,39,7
314,Jerry,2," No, he's making a bouillabaisse.",1,Seinfeld,33,5
315,Jerry,2," So Dad, lemme ask you a question. How many people work at               these big",1,Seinfeld,82,14
317,Jerry,2," Yeah, but if you called up and described someone, do you               think they ",1,Seinfeld,83,13
319,Jerry,2," No, I met someone at this party, and I know where she works,               but I ",1,Seinfeld,82,15
321,Jerry,2," Nah, the only one I could ask is Elaine, and I can't ask               her.",1,Seinfeld,76,14
323,Jerry,2, Because it's complicated-- there's some tension there.,1,Seinfeld,55,7
328,Jerry,2," Oh yeah, she's great.",1,Seinfeld,22,4
330,Jerry,2," Well, it's a tough thing to talk about... I dunno...",1,Seinfeld,53,10
332,Jerry,2, You don't know what it was...,1,Seinfeld,30,6
334,Jerry,2," Well, we fight a lot for some reason...",1,Seinfeld,40,8
336,Jerry,2, And there was a little problem with the physical chemistry...,1,Seinfeld,62,10
338,Jerry,2," Oh, she is, she absolutely is.",1,Seinfeld,31,6
340,Jerry,2," No, it's not that. It wasn't all one-sided.",1,Seinfeld,44,8
342,Jerry,2," I know, I know...",1,Seinfeld,18,4
345,Jerry,2, That's got *nothin'* to do with it.,1,Seinfeld,36,7
350,Jerry,2," What are you two talking about? Look, Elaine just wasn't               ""the one"".",1,Seinfeld,82,12
352,Jerry,2," I dunno, maybe...",1,Seinfeld,18,3
354,Jerry,2," I can't-- she'll get upset. I never talk about other women               with her,",1,Seinfeld,83,13
356,Jerry,2, We're *friends*.,1,Seinfeld,17,2
358,Jerry,2, Oh yeah...,1,Seinfeld,11,2
362,Jerry,2, I guess...,1,Seinfeld,11,2
364,Jerry,2," You mean ""stakeout"" the lobby?",1,Seinfeld,31,5
369,Jerry,2, Y'know what? This is *not* that *bad* an idea...,1,Seinfeld,49,9
370,George,2, What does she look like?,1,Seinfeld,25,5
371,Jerry,2, I dunno. Hard to say.,1,Seinfeld,22,5
372,George,2, What actress does she remind you of?,1,Seinfeld,37,7
373,Jerry,2, Loni Anderson.,1,Seinfeld,15,2
374,George,2, Loni Anderson?!,1,Seinfeld,16,2
375,Jerry,2," What, there's something wrong with Loni Anderson?",1,Seinfeld,50,7
376,Jerry,2," Hey listen, thanks again for running over here. I appreciate               it.",1,Seinfeld,79,11
377,George,2," Yeah, sure. I was showing a condo on 48th st. Besides,               you think",1,Seinfeld,79,13
378,Jerry,2, I'm a little nervous.,1,Seinfeld,22,4
379,George,2," Yeah, me too...",1,Seinfeld,16,3
380,Jerry,2," If I see her, what do I say that I'm doing here in the building?",1,Seinfeld,65,15
381,George,2, You came to see me; I work in the building.,1,Seinfeld,44,10
382,Jerry,2, What do you do?,1,Seinfeld,16,4
383,George,2, I'm an *architect*.,1,Seinfeld,20,3
384,Jerry,2, You're an *architect*?,1,Seinfeld,23,3
385,George,2, I'm not?,1,Seinfeld,9,2
386,Jerry,2, I don't see architecture comin from you...,1,Seinfeld,43,7
387,George,2, I suppose *you* could be an architect...,1,Seinfeld,41,7
388,Jerry,2, I never said that I was the architect. Just somethin' else...,1,Seinfeld,62,11
389,George,2," Alright, she's not even gonna ask, if we *see* her, which               is remote.",1,Seinfeld,83,13
390,Jerry,2," Well what'dya want me to say, that I just wandered in here?!",1,Seinfeld,61,12
391,George,2, We're having lunch with a friend-- he works in the building.,1,Seinfeld,61,11
392,Jerry,2, What is *his* name?,1,Seinfeld,20,4
393,George,2, Bert... Har... bin... son. Bert Har-bin-son.,1,Seinfeld,45,6
394,Jerry,2, Bert Harbinson? It sounds made up.,1,Seinfeld,35,6
395,George,2," No good? Alright, how about Art... Corr..... ",1,Seinfeld,46,7
396,Jerry,2, Art Corr...,1,Seinfeld,12,2
397,George,2, ...velay...,1,Seinfeld,12,1
398,Jerry,2, Corvelay?,1,Seinfeld,10,1
399,George,2," Yeah, right.",1,Seinfeld,13,2
400,Jerry,2," Well, what does *he* do?",1,Seinfeld,25,5
401,George,2, He's an importer.,1,Seinfeld,18,3
402,Jerry,2," Just imports, no exports?",1,Seinfeld,26,4
403,George,2," He's an importer/exporter, okay? ",1,Seinfeld,34,4
404,George,2," Say, did Elaine ever call you back?",1,Seinfeld,36,7
405,Jerry,2," No, I guess she's still mad.",1,Seinfeld,29,6
406,George,2," I don't understand, you never talk to her about other women?",1,Seinfeld,61,11
407,Jerry,2, Never.,1,Seinfeld,7,1
408,Jerry,2, Wait a second... That's her... on the right.,1,Seinfeld,45,8
409,George,2, I forgot who I am! Who am I?!,1,Seinfeld,30,8
410,Jerry,2, You're you. We're having lunch with Art Corvelay.,1,Seinfeld,50,8
411,George,2, Vandelay!,1,Seinfeld,10,1
412,Jerry,2, Corvelay!,1,Seinfeld,10,1
413,George,2," Let me be the architect, I can do it!",1,Seinfeld,38,9
414,Jerry,2," Hey, hey... Pamela's birthday party, didn't I see you there...             ",1,Seinfeld,76,10
416,Jerry,2, This is George.  I'm sorry...,1,Seinfeld,30,5
418,George,2, Nice to meet you.,1,Seinfeld,18,4
419,Jerry,2," Ah, Sagman, Bennet, Robbins, Oppenheim and Taft.",1,Seinfeld,49,7
421,Jerry,2," Oh, were meeting a friend of ours for lunch. He works here               in the",1,Seinfeld,80,14
422,George,2," Yeah, Art *Vandelay*.",1,Seinfeld,22,3
424,Jerry,2, I don't know. He's an importer.,1,Seinfeld,32,6
426,George,2, ...And exporter.,1,Seinfeld,17,2
427,Jerry,2, He's an importer/exporter.,1,Seinfeld,27,3
428,George,2," I'm, uh, I'm an architect.",1,Seinfeld,27,5
430,George,2," Uh, railroads, uh...",1,Seinfeld,21,3
432,George,2, They can...,1,Seinfeld,12,2
433,Jerry,2, Y'know I'm sorry you had to leave so early the other night.,1,Seinfeld,60,12
435,Jerry,2," Oh, that guy was your *cousin*!",1,Seinfeld,32,6
437,Jerry,2, Friend!,1,Seinfeld,8,1
438,George,2," I'll just, uh, get a paper...",1,Seinfeld,30,6
439,Jerry,2," So, um, do you date immature men?",1,Seinfeld,34,7
442,Jerry,2," Ma, will you go already?",1,Seinfeld,25,5
444,Jerry,2, What are you doing?!,1,Seinfeld,21,4
446,Jerry,2," You can't look in there, we're playing!",1,Seinfeld,40,7
448,Kramer,2, Hey Morty!  Salad dressing?,1,Seinfeld,28,4
449,Jerry,2, Look.,1,Seinfeld,6,1
451,Jerry,2, Maybe!,1,Seinfeld,7,1
453,Jerry,2," Ma, you can't look up words in the dictionary! Dad, she's               cheating!",1,Seinfeld,82,12
454,Kramer,2," ""Quo""? That's not a word.",1,Seinfeld,26,5
456,Jerry,2," Well put *something* down, you're taking twenty minutes               on this.",1,Seinfeld,79,10
459,Jerry,2, She said *what*?,1,Seinfeld,17,3
461,Jerry,2," She knows! Oh, I am *such* a *jackass*...",1,Seinfeld,42,8
463,Jerry,2, She knows the whole stupid thing... Vanessa and the elevator...,1,Seinfeld,64,10
466,Jerry,2," Because, Vanessa probably told Pamela, and Pamela probably               told ",1,Seinfeld,79,9
468,Jerry,2, Yes. *Yes* *I* *am*!,1,Seinfeld,21,4
469,Jerry,2, What else did she say on the phone?,1,Seinfeld,36,8
471,Jerry,2," Yeah, but what was the tone in her voice? How did she sound?",1,Seinfeld,61,13
474,Jerry,2," Yeah, but now I'm nervous.",1,Seinfeld,27,5
476,Jerry,2," ""Quone""?",1,Seinfeld,9,1
478,Jerry,2," ""Quone""? No, I'm afraid that I'm going to have               to challenge that.",1,Seinfeld,80,12
