id,character,episode,line,season,show,characters_spoken,words_spoken,,,character,episode,line,season,show,characters_spoken,words_spoken
38,Randy,1,"Ohhh, so have you decided you can still belong to the Super Adventure Club but live here in South Park again?",10,Southpark,109,21,,,,,,,,,
39,Chef,1,That's right.,10,Southpark,13,2,,,,,,,,,
40,Randy,1,"Well, it seems like the Super Adventure Club was just what you needed, Chef. You must be feeling very happy that you found a club to belong to with new friends, but that you can also live here in South Park with all your old friends whom you care for deeply.  Right?",10,Southpark,266,52,,,,,,,,,
41,Chef,1,That's right. Randy! ,10,Southpark,21,3,,,,,,,,,
43,Chef,1,Thank you. Jimbo.,10,Southpark,17,3,,,,,,,,,
44,Randy,1,"Well, come on everybody. I'm sure Chef would like a little time to get moved back in.",10,Southpark,85,17,,,,,,,,,
45,Chef,1,That's right! Thank you. Good-bye- Everybody.,10,Southpark,45,6,,,,,,,,,
47,Kyle,1,"Well, I- guess we'll see you in school tomorrow, Chef.",10,Southpark,54,10,,,,,,,,,
48,Chef,1,You bet! Good-bye. Children! ,10,Southpark,29,4,,,,,,,,,
49,Stan,1,"Right. Uh, see ya.",10,Southpark,18,4,,,,,,,,,
50,Cartman,1,"Uh, guys? Did Chef seem a little, uh, trippy to you?",10,Southpark,52,11,,,,,,,,,
51,Stan,1,"Well, look. he said he's happier now. Maybe he just needs to rest up a little.",10,Southpark,78,16,,,,,,,,,
52,Kyle,1,Yeah. I'm sure whatever that Super Adventure Club does is pretty tiring.,10,Southpark,72,12,,,,,,,,,
53,Stan,1,"Yeah, but whatever, I'm just glad he's back for good.",10,Southpark,53,10,,,,,,,,,
54,Kenny,1,,10,Southpark,0,0,,,,,,,,,
56,Cartman,1,"Oh boy oh boy, I can't wait to have Chef's lunch food again.",10,Southpark,60,13,,,,,,,,,
57,Kyle,1,Yeah. I hope he makes his Salisbury steak with buttered noodles! ,10,Southpark,65,11,,,,,,,,,
59,Stan,1,What?,10,Southpark,5,1,,,,,,,,,
61,Kyle,1,Like what?,10,Southpark,10,2,,,,,,,,,
63,Stan,1,What??,10,Southpark,6,1,,,,,,,,,
65,Kyle,1,Weirdo. ,10,Southpark,8,1,,,,,,,,,
66,Chef,1,"Hello there, children!",10,Southpark,22,3,,,,,,,,,
68,Chef,1,How's it goin'?,10,Southpark,15,3,,,,,,,,,
69,Kyle,1,Good.,10,Southpark,5,1,,,,,,,,,
70,Chef,1,"Well, how about I meet you boys after work and we make love?",10,Southpark,60,13,,,,,,,,,
71,Cartman,1,Excuse me?,10,Southpark,10,2,,,,,,,,,
72,Chef,1,"Come on, children! You're my sexual fantasy. Let's all make sweet love.",10,Southpark,71,12,,,,,,,,,
73,Kyle,1,...Chef?? A-are you okay?,10,Southpark,25,4,,,,,,,,,
74,Chef,1,"I want to stick my balls inside your rectum, Kyle.",10,Southpark,50,10,,,,,,,,,
75,Stan,1,"Dude, what are you saying??",10,Southpark,27,5,,,,,,,,,
76,Chef,1,"I'm gonna make love to your asshole, children.",10,Southpark,46,8,,,,,,,,,
77,Stan,1,...WHAT??,10,Southpark,9,1,,,,,,,,,
79,Kyle,1,This doesn't make any sense!,10,Southpark,28,5,,,,,,,,,
81,Stan,1,"No, he's not.",10,Southpark,13,3,,,,,,,,,
83,Stan,1,"No, he's not.",10,Southpark,13,3,,,,,,,,,
85,Butters,1,What's a pedophile?,10,Southpark,19,3,,,,,,,,,
87,Stan,1,NO!,10,Southpark,3,1,,,,,,,,,
91,Butters,1,My Uncle Bud did that to me once! ,10,Southpark,34,8,,,,,,,,,
93,Kyle,1,"Goddammit, Chef isn't like that! Something funny is going on around here!",10,Southpark,73,12,,,,,,,,,
95,Chef,1,"Hello there, children!",10,Southpark,22,3,,,,,,,,,
96,Kyle,1,"Chef, the police are asking questions about you!",10,Southpark,48,8,,,,,,,,,
97,Chef,1,"Oh really? Well, let's all go home and make love.",10,Southpark,49,10,,,,,,,,,
98,Stan,1,"No, Chef, we don't wanna make love to you!",10,Southpark,42,9,,,,,,,,,
99,Chef,1,"Kenny, how would you like to sodomize my black ass",10,Southpark,50,10,,,,,,,,,
100,Kyle,1,"Chef, CHEF! You need to get out of here before you get arrested, all right?!",10,Southpark,76,15,,,,,,,,,
101,Chef,1,"I specializes in your asshole, Kyle. ",10,Southpark,37,6,,,,,,,,,
102,Cartman,1,"...Man, I can't believe all this time, Chef just wanted us for sex.",10,Southpark,67,13,,,,,,,,,
103,Kyle,1,"He didn't want us for sex, fatass! Something is making him say those things.",10,Southpark,76,14,,,,,,,,,
104,Kenny,1,,10,Southpark,0,0,,,,,,,,,
105,Kyle,1,"Something must have happened to Chef while he was gone. Maybe he hit his head or, or got stuck in some quantum time vortex.",10,Southpark,123,24,,,,,,,,,
106,Stan,1,Well look: he spent the last three months with that adventurers' club. Maybe they know what happened to him.,10,Southpark,108,19,,,,,,,,,
107,Kenny,1,,10,Southpark,0,0,,,,,,,,,
108,Cartman,1,Yeah!,10,Southpark,5,1,,,,,,,,,
109,Kyle,1,"All right, come on guys!",10,Southpark,24,5,,,,,,,,,
110,Cartman,1,"Hey you guys, you know what they call a Jewish woman's boobs? Jewbs. ",10,Southpark,69,13,,,,,,,,,
112,Kyle,1,"Ahh, hi, can we speak to the head guy or something?",10,Southpark,51,11,,,,,,,,,
119,Kyle,1,"Uh, hi. Our friend joined your club a while back, and now he wants to molest kids. ",10,Southpark,83,17,,,,,,,,,
121,Cartman,1,...Huh?,10,Southpark,7,1,,,,,,,,,
124,Kyle,1,"Well, we thought you went exploring and like, hunting and stuff!",10,Southpark,64,11,,,,,,,,,
126,Kyle,1,...Dude!,10,Southpark,8,1,,,,,,,,,
128,Stan,1,NO!!,10,Southpark,4,1,,,,,,,,,
130,Stan,1,No! ,10,Southpark,4,1,,,,,,,,,
131,Kyle,1,"Dude, what are you doing?!",10,Southpark,26,5,,,,,,,,,
133,Kyle,1,Just what the hell is that thing?!,10,Southpark,34,7,,,,,,,,,
135,Kyle,1,HA! I knew it!,10,Southpark,14,4,,,,,,,,,
136,Stan,1,Knew what?,10,Southpark,10,2,,,,,,,,,
137,Kyle,1,The reason Chef has been saying those terrible things about us is because he's been brainwashed! By this- fruity little club!,10,Southpark,125,21,,,,,,,,,
138,Cartman,1,"Oh, son of a bitch!",10,Southpark,19,5,,,,,,,,,
139,Chef,1,"Come on, children. Let's all go home and make love.",10,Southpark,51,10,,,,,,,,,
140,Stan,1,"You need to see a psychiatrist, Chef. It's for your own good.",10,Southpark,61,12,,,,,,,,,
141,Chef,1,I just like to make love up your butt.,10,Southpark,38,9,,,,,,,,,
144,Kyle,1,"All right, come on. ",10,Southpark,20,4,,,,,,,,,
146,Kyle,1,"Hi, uh- our friend has been brainwashed by some fruity little club.",10,Southpark,67,12,,,,,,,,,
148,Stan,1,"Yeah, he joined the Super Adventure Club, and they convinced him having sex with children was okay with a little thing that goes whrrrrrr.",10,Southpark,138,24,,,,,,,,,
150,Stan,1,"No, that's the Adventure Club. The Super Adventure Club has sex with children.",10,Southpark,78,13,,,,,,,,,
152,Chef,1,"Doctor, do you have- children?",10,Southpark,30,5,,,,,,,,,
154,Chef,1,Have you all been sodomizing your children too?,10,Southpark,47,8,,,,,,,,,
156,Cartman,1,"No, Chef has always been super-cool.",10,Southpark,36,6,,,,,,,,,
157,Chef,1,I'm gonna make love to the children.,10,Southpark,36,7,,,,,,,,,
159,Cartman,1,So what can we do??,10,Southpark,19,5,,,,,,,,,
161,Kyle,1,"But we don't have years! If Chef keeps this up, he's gonna go to jail forever!",10,Southpark,78,16,,,,,,,,,
163,Stan,1,Having sex with women.,10,Southpark,22,4,,,,,,,,,
166,Chef,1,"Aw, come on, children. Let's go home.",10,Southpark,37,7,,,,,,,,,
167,Stan,1,This isn't working.,10,Southpark,19,3,,,,,,,,,
170,Kyle,1,No thanks. We're trying to unbrainwash our friend.,10,Southpark,50,8,,,,,,,,,
172,Cartman,1,"Come on, bitch! Dance!",10,Southpark,22,4,,,,,,,,,
174,Cartman,1,"Bitch, I'll twist your nuts off!",10,Southpark,32,6,,,,,,,,,
176,Stan,1,"Come on guys, we might as well go. ",10,Southpark,35,8,,,,,,,,,
177,Chef,1,God-damn!,10,Southpark,9,1,,,,,,,,,
178,Stan,1,"Chef, we're leaving.",10,Southpark,20,3,,,,,,,,,
181,Chef,1,Wait a minute.,10,Southpark,14,3,,,,,,,,,
182,Stan,1,He's remembering.,10,Southpark,17,2,,,,,,,,,
183,Chef,1,Children! What have I done?,10,Southpark,27,5,,,,,,,,,
184,Cartman,1,"It's okay Chef. Go on, remember!",10,Southpark,32,6,,,,,,,,,
185,Chef,1,I'm goinna- I'm gonna-,10,Southpark,22,4,,,,,,,,,
186,Kyle,1,"Come on, Chef! You can do it!",10,Southpark,29,7,,,,,,,,,
187,Chef,1,"I'm gonna make love to you woman, 'gonna lay you down by the fire!",10,Southpark,66,14,,,,,,,,,
189,Kenny,1,,10,Southpark,0,0,,,,,,,,,
190,Chef,1,"Hey children, everybody! I'm back!  Ow.",10,Southpark,39,6,,,,,,,,,
192,Chef,1,Oh! ,10,Southpark,4,1,,,,,,,,,
195,Stan,1,Where's Chef?! What have you done with him?!,10,Southpark,44,8,,,,,,,,,
197,Cartman,1,"Look: If you wanna go around the world molesting kids, that's totally fine. But why do you need Chef?!",10,Southpark,102,19,,,,,,,,,
199,Stan,1,"Oh Jesus, here we go.",10,Southpark,21,5,,,,,,,,,
201,Stan,1,We don't wanna hear it.,10,Southpark,23,5,,,,,,,,,
203,Stan,1,Immortal.,10,Southpark,9,1,,,,,,,,,
205,Kyle,1,...Do you realize how retarded that sounds?,10,Southpark,43,7,,,,,,,,,
207,Stan,1,"Yeah, it's way, way more retarded.",10,Southpark,34,6,,,,,,,,,
209,Stan,1,We're not leaving without Chef.,10,Southpark,31,5,,,,,,,,,
211,Kyle,1,We're not going anywhere without Chef.,10,Southpark,38,6,,,,,,,,,
214,Kyle,1,No! Hey!,10,Southpark,8,2,,,,,,,,,
216,Stan,1,"No, you don't understand! They've got our friend in the Deprivation Room!",10,Southpark,73,12,,,,,,,,,
218,Kyle,1,"Sorry, dude, but this fruity little club isn't taking our friend!",10,Southpark,65,11,,,,,,,,,
220,Kyle,1,"Chef, come on!",10,Southpark,14,3,,,,,,,,,
221,Chef,1,Children!,10,Southpark,9,1,,,,,,,,,
223,Cartman,1,Kenny! Spin Blossom Nut Squash!,10,Southpark,31,5,,,,,,,,,
224,Kenny,1, ,10,Southpark,1,0,,,,,,,,,
225,Stan,1,"Come on, Chef!",10,Southpark,14,3,,,,,,,,,
226,Chef,1,I can't... break these locks. ,10,Southpark,30,5,,,,,,,,,
227,Kyle,1,Here! ,10,Southpark,6,1,,,,,,,,,
228,Cartman,1,Run Chef!,10,Southpark,9,2,,,,,,,,,
230,Kyle,1,Get outside! ,10,Southpark,13,2,,,,,,,,,
232,Chef,1,Children! Run! ,10,Southpark,15,2,,,,,,,,,
234,Stan,1,We made it!,10,Southpark,11,3,,,,,,,,,
236,Stan,1,"Chef, come on!",10,Southpark,14,3,,,,,,,,,
238,Kyle,1,"Yeah, he wanted adventure! Not a bunch of ridiculous bullcrap! Right Chef?  Chef?",10,Southpark,81,13,,,,,,,,,
240,Stan,1,"Chef, we love you.",10,Southpark,18,4,,,,,,,,,
241,Chef,1,I'm sorry children. ,10,Southpark,20,3,,,,,,,,,
242,Kyle,1,"No! Chef, they've filled your head with lies! Can't you see that??",10,Southpark,66,12,,,,,,,,,
243,Chef,1,"Get the hell out of here, children!!",10,Southpark,36,7,,,,,,,,,
246,Chef,1,Ack.  Ow! Oh! Ah! Oh! Dammit!  Ah- Awww! ,10,Southpark,41,8,,,,,,,,,
247,Stan,1,NO! ,10,Southpark,4,1,,,,,,,,,
248,Cartman,1,A mountain lion! ,10,Southpark,17,3,,,,,,,,,
250,Chef,1,Ah!,10,Southpark,3,1,,,,,,,,,
252,Kyle,1,CHEF! ,10,Southpark,6,1,,,,,,,,,
253,Cartman,1,A grizzly bear!,10,Southpark,15,3,,,,,,,,,
254,Stan,1,Oh my God... They killed Chef.,10,Southpark,30,6,,,,,,,,,
255,Kyle,1,You bastards. YOU BASTARDS!,10,Southpark,27,4,,,,,,,,,
257,Cartman,1,"Maybe- maybe he's still okay.  No, really. They say the last thing you do before you die is crap your-",10,Southpark,102,20,,,,,,,,,
258,Chef,1,POOOT! ,10,Southpark,7,1,,,,,,,,,
259,Cartman,1,Oh never mind.,10,Southpark,14,3,,,,,,,,,
260,Stan,1,"Come on, let's go. ",10,Southpark,19,4,,,,,,,,,
261,Kyle,1,"We're all here today because Chef has been such an important part of our lives. A lot of us don't agree with the choices Chef has made in the past few days.  Some of us... feel hurt... and confused that he seemed to turn his back on us.  But we can't let the events of the last week take away the memories of how much Chef made us smile.  I'm gonna remember Chef as the jolly old guy who always broke into song.  I'm gonna remember Chef... as the guy who gave us advice to live by.  So you see, we shouldn't be mad at Chef for leaving us. We should be mad at that little fruity club for scrambling his brains.",10,Southpark,609,122,,,,,,,,,
262,Randy,1,Yeah.,10,Southpark,5,1,,,,,,,,,
264,Kyle,1,"And in the end, I know that somewhere out there... there's the good part of Chef... that's still alive in us all. ",10,Southpark,114,22,,,,,,,,,
282,Kyle,2,"Dad, can we go home? All you ever do since you got this car is drive around and show it off! ",10,Southpark,93,21,,,,,,,,,
287,Kyle,2,"Dad, I think Ike is starving to death. ",10,Southpark,39,8,,,,,,,,,
289,Kyle,2,What?!,10,Southpark,6,1,,,,,,,,,
291,Kyle,2,"Dad, can we go home, please?",10,Southpark,28,6,,,,,,,,,
293,Kyle,2,"But Dad, I want-",10,Southpark,16,4,,,,,,,,,
295,Stan,2,Oh hey Kyle.,10,Southpark,12,3,,,,,,,,,
296,Kyle,2,"Aw, hey dude. What are you doing here?",10,Southpark,38,8,,,,,,,,,
297,Stan,2,Helping my Dad pick out some cool new power tools. What are you doing?,10,Southpark,70,14,,,,,,,,,
298,Kyle,2,Helping my Dad give people fake tickets. ,10,Southpark,41,7,,,,,,,,,
299,Randy,2,What's this? ,10,Southpark,13,2,,,,,,,,,
301,Randy,2,"A ticket? ""Failure to care about the environment"" Oh Goddammit, did you do this, Gerald?!",10,Southpark,89,15,,,,,,,,,
303,Randy,2,"You got some nerve, you know that?! Where do you come off ticketing people?!",10,Southpark,76,14,,,,,,,,,
305,Randy,2,I know it's not a real ticket!!,10,Southpark,31,7,,,,,,,,,
309,Kyle,2,"Dad, let's just go!",10,Southpark,19,4,,,,,,,,,
311,Randy,2,"The problem, Gerald, is that ever since you got a hybrid car, you've gotten so smug that you love the smell of your own farts!",10,Southpark,126,25,,,,,,,,,
313,Randy,2,And that too! Stop talking with your eyes closed! That's what smug people do!,10,Southpark,77,14,,,,,,,,,
315,Randy,2,"There, like that! Stop that!",10,Southpark,28,5,,,,,,,,,
319,Kyle,2,"Dad.  Dad, Ike and I have been talking, and well, we feel that your new car is changing you.",10,Southpark,92,19,,,,,,,,,
321,Kyle,2,We're thinking that a lot of people in town starting too... ,10,Southpark,60,11,,,,,,,,,
323,Kyle,2,...a-are starting to take offense at your actions. We feel like you're starting to become-hmm... ,10,Southpark,97,15,,,,,,,,,
325,Kyle,2,...star-starting to become alienated from some of your friends.,10,Southpark,63,9,,,,,,,,,
327,Kyle,2,You do??,10,Southpark,8,2,,,,,,,,,
329,Kyle,2,"Righ!  Okay, good.",10,Southpark,18,3,,,,,,,,,
331,Kyle,2,What??,10,Southpark,6,1,,,,,,,,,
333,Stan,2,Yeah? ,10,Southpark,6,1,,,,,,,,,
334,Butters,2,"Uh hay, Stan. Uh you should come on over. Uh they're havin' a goin'-away party for Kyle.",10,Southpark,88,17,,,,,,,,,
335,Stan,2,Going away party? What do you mean?,10,Southpark,35,7,,,,,,,,,
336,Butters,2,Well don't you know? Kyle's movin' away.,10,Southpark,40,7,,,,,,,,,
337,Stan,2,Moving away?? Kyle can't move away!,10,Southpark,35,6,,,,,,,,,
338,Butters,2,Well he is.,10,Southpark,11,3,,,,,,,,,
339,Stan,2,Where's the going-away party?,10,Southpark,29,4,,,,,,,,,
340,Butters,2,At Cartman's house.,10,Southpark,19,3,,,,,,,,,
341,Cartman,2,Hey everybody! There's more pop in the refrigerator. Let's make this the best going-away party EVER! ,10,Southpark,101,16,,,,,,,,,
343,Cartman,2,Who? ,10,Southpark,5,1,,,,,,,,,
345,Cartman,2,Kyle? Why would I invite Kyle?,10,Southpark,30,6,,,,,,,,,
347,Stan,2,Kyle? Kyle!,10,Southpark,11,2,,,,,,,,,
349,Stan,2,What?!,10,Southpark,6,1,,,,,,,,,
350,Cartman,2,"You guys, this is our party. That no-good back-stabbing Jew rat is finally leaving! Come on, everyone! Let's sing! 'Nanana na! Nanana na! Hey hey hey! Goodbye Kyle!",10,Southpark,164,28,,,,,,,,,
351,Stan,2,Kyle! Du-what is going on?!,10,Southpark,27,5,,,,,,,,,
352,Kyle,2,My Dad says he can't live here anymore.,10,Southpark,39,8,,,,,,,,,
353,Stan,2,"Mr. Broflovski, please. Kyle's my best friend.",10,Southpark,46,7,,,,,,,,,
355,Stan,2,Well... Maybe they'll change.,10,Southpark,29,4,,,,,,,,,
357,Stan,2,Nooo!,10,Southpark,5,1,,,,,,,,,
359,Stan,2,I will. I will get everyone to drive hybrid cars! I swear it!,10,Southpark,61,13,,,,,,,,,
379,Stan,2,"Come on, people. Come on, people now. ",10,Southpark,38,7,,,,,,,,,
380,Cartman,2,"Dude, what are you doing?",10,Southpark,25,5,,,,,,,,,
381,Stan,2,"I'm writing a song about the importance of hybrid cars, so maybe people will change their ways.",10,Southpark,95,17,,,,,,,,,
382,Cartman,2,"THAT's gay, heh.",10,Southpark,16,3,,,,,,,,,
383,Stan,2,"Well if I have any chance of getting Kyle back, I have to get people to stop driving SUVs!",10,Southpark,90,19,,,,,,,,,
384,Cartman,2,Why do you want Kyle back?? Don't you see how awesome it is without him?,10,Southpark,72,15,,,,,,,,,
385,Stan,2,"You know, Cartman, you may be stoked now, but I bet you're gonna find that withuot Kyle around to rip on, your life is empty, and hollow.",10,Southpark,137,27,,,,,,,,,
386,Cartman,2,"Psh! Whatever dude. I don't need Kyle to rip on, I've got Butters. Come on, Butters, you stupid Jew! ",10,Southpark,101,19,,,,,,,,,
387,Butters,2,Yeah! I'm a dumb Jew. ,10,Southpark,22,5,,,,,,,,,
388,Stan,2,"Come on, people. Come on, people now.",10,Southpark,37,7,,,,,,,,,
390,Stan,2,"Come on now, people now people now'People now, come on now, people nowGot to drive hybrids, people nowPeople now, people now, people nowHybrids are for people now, people nowGroup of people driving people nowGet a hybrid, be good people now.",10,Southpark,241,40,,,,,,,,,
392,Stan,2,"We have all got to be people nowPeople-driving-hybrid people nowPeople now, people now, hybrid nowHybrid-people-driving people now.Come on, people, let's be people nowHybrid-people-driving people nowCome on, everybody be people now",10,Southpark,231,30,,,,,,,,,
396,Randy,2,"I know! It's like ""Earth to America? Hello? This is simple stuff here. Gawl""",10,Southpark,76,14,,,,,,,,,
400,Randy,2,At least we're smart enough to know better!,10,Southpark,43,8,,,,,,,,,
402,Stan,2,"Come on, everybody be people now",10,Southpark,32,6,,,,,,,,,
405,Stan,2,"Ah, thanks. I was really just trying to make it so my friend can move back here so... if you don't mind, I'm gonna try to get a hold of him now. ",10,Southpark,145,32,,,,,,,,,
409,Stan,2,Yeah.,10,Southpark,5,1,,,,,,,,,
411,Stan,2,Ow!,10,Southpark,3,1,,,,,,,,,
413,Stan,2,What?!,10,Southpark,6,1,,,,,,,,,
416,Stan,2,Smog? There's never been smog over South Park before.,10,Southpark,53,9,,,,,,,,,
418,Stan,2,Smug?,10,Southpark,5,1,,,,,,,,,
433,Kyle,2,So... what do you do for fun?,10,Southpark,29,7,,,,,,,,,
436,Kyle,2,"Oh, no thanks. We don't do that stuff.",10,Southpark,38,8,,,,,,,,,
440,Kyle,2,"Yeah, fine, Dad.",10,Southpark,16,3,,,,,,,,,
442,Kyle,2,Well... maybe I'll take just half a hit of acid.,10,Southpark,48,10,,,,,,,,,
444,Stan,2,"No, no, I'm asking if there's a listing for Broflovski in San Francisco! They just moved there!",10,Southpark,95,17,,,,,,,,,
445,Cartman,2,"Haha! Take that, Jew boy! I guess you Heebs can't even play video football!",10,Southpark,75,14,,,,,,,,,
446,Butters,2,Yeah. You're right. ,10,Southpark,20,3,,,,,,,,,
447,Cartman,2,"You know Butters, you make for a lousy Jew.",10,Southpark,43,9,,,,,,,,,
448,Butters,2,"Well I'm sorry. Well it's just that I'm not Jewish, and now th-",10,Southpark,63,13,,,,,,,,,
449,Cartman,2,"No, no! Don't apologize, you asshole!",10,Southpark,37,6,,,,,,,,,
451,Stan,2,"Oh crap, Ranger McFriendly.",10,Southpark,27,4,,,,,,,,,
452,Cartman,2,Who?,10,Southpark,4,1,,,,,,,,,
455,Cartman,2,The smug?,10,Southpark,9,2,,,,,,,,,
457,Stan,2,What is that?,10,Southpark,13,3,,,,,,,,,
459,Stan,2,George Clooney's acceptance speech?,10,Southpark,35,4,,,,,,,,,
462,Stan,2,What about San Francisco?,10,Southpark,25,4,,,,,,,,,
465,Randy,2,Are you trying to tell us the smug from our hybrids is actually gonna kill us all?,10,Southpark,82,17,,,,,,,,,
468,Randy,2,"Yeah. Good going, stupid!",10,Southpark,25,4,,,,,,,,,
472,Randy,2,"Hey, where do you think YOU're going?!",10,Southpark,38,7,,,,,,,,,
473,Stan,2,I'm gonna try and warn Kyle to get out of San Francisco.,10,Southpark,56,12,,,,,,,,,
474,Randy,2,Oh no you're not! Your gay little song got us to drive hybrids; you're gonna help us get rid of 'em!,10,Southpark,100,21,,,,,,,,,
478,Butters,2,"Wow, Eric. You sure are a great guy for doing this.",10,Southpark,51,11,,,,,,,,,
479,Cartman,2,I don't have a choice. Somebody has to get into San Francisco and warn Kyle's family to get out before the storm hits.,10,Southpark,118,23,,,,,,,,,
480,Butters,2,But... how come we can't just take the bus on into the city?,10,Southpark,60,13,,,,,,,,,
481,Cartman,2,"You don't know San Francisco, Butters.  It was the breeding ground for the hippie movement in the 60s. Those hard-core liberals, lesbian activists, and die hard modern hippies young and old.  I swore I would never set foot in San Francisco. God help me.  All right, Butters, I'll be tethered to you through this cord. It's my only lifeline, so make sure it stays taut. If you stop hearing my voice, for the love of Christ, start reeling me in with all your strength.",10,Southpark,466,84,,,,,,,,,
482,Butters,2,"I will. You're really great for going to warn Kyle, Eric.",10,Southpark,57,11,,,,,,,,,
483,Cartman,2,"I'm not doin' it for Kyle.  I can't believe I'm actually going to walk through San Francisco. Well, here it goes. ",10,Southpark,114,21,,,,,,,,,
485,Stan,2,Can't somebody else operate this? I can't really reach.,10,Southpark,55,9,,,,,,,,,
489,Cartman,2,"Butters, are you there?!",10,Southpark,24,4,,,,,,,,,
490,Butters,2,"I'm here, Eric.",10,Southpark,15,3,,,,,,,,,
491,Cartman,2,I've started to enter the smug. I'm about a quarter mile in. Can you give me an EL?,10,Southpark,83,18,,,,,,,,,
492,Butters,2,You must be nearing Union Square. Did you see a fountain to your left?,10,Southpark,70,14,,,,,,,,,
493,Cartman,2,Yes. It's just beyond yet another wine and cheese store.,10,Southpark,56,10,,,,,,,,,
494,Butters,2,"Wait, uhh, eh take your next right. You've got to start heading west.",10,Southpark,69,13,,,,,,,,,
495,Cartman,2,Turning right at O two four niner. ,10,Southpark,35,7,,,,,,,,,
496,Randy,2,That's it. That's that the last one.,10,Southpark,36,7,,,,,,,,,
499,Cartman,2,"Butters?! Butters, I think I'm here! 2419 Castillo?!",10,Southpark,52,8,,,,,,,,,
500,Butters,2,"That's it! Eric, hurry! Somethin's goin' on out here!",10,Southpark,53,9,,,,,,,,,
501,Cartman,2,"Mr. Broflovski! Mr. Broflovski, there a smug storm! We have to go!",10,Southpark,66,12,,,,,,,,,
503,Cartman,2,Oh my CHRIST!  Kyle? Kyle!,10,Southpark,26,5,,,,,,,,,
504,Kyle,2,"The acid. Dude, I'm totally tripping balls.",10,Southpark,43,7,,,,,,,,,
506,Cartman,2,We have to get out of here! Now!  Kyle! Kyle!! ,10,Southpark,47,10,,,,,,,,,
508,Stan,2,No...,10,Southpark,5,1,,,,,,,,,
509,Randy,2,"I'm sorry, Stan. I'm sorry your gay little song killed your friend.",10,Southpark,67,12,,,,,,,,,
511,Stan,2,What?,10,Southpark,5,1,,,,,,,,,
513,Stan,2,Kyle!,10,Southpark,5,1,,,,,,,,,
514,Kyle,2,Hey Stan.,10,Southpark,9,2,,,,,,,,,
515,Stan,2,"Dude, what happened?? ",10,Southpark,22,3,,,,,,,,,
518,Stan,2,"Dude, I'm so glad you're not dead.",10,Southpark,34,7,,,,,,,,,
520,Randy,2,"Yeah. First off, we're all gonna need new cars.",10,Southpark,47,9,,,,,,,,,
522,Kyle,2,NO! Hybrid cars are a good thing!,10,Southpark,33,7,,,,,,,,,
524,Kyle,2,"Hybrid cars don't cause smugness, people do.  Look, hybrid cars are important. They may even save our planet one day. What you all need to do is just learn to drive hybrids and not be smug about it.",10,Southpark,198,38,,,,,,,,,
525,Randy,2,You mean... drive in hybrids... but not act like we're better than everyone else because of it.,10,Southpark,95,17,,,,,,,,,
526,Kyle,2,Yeah!,10,Southpark,5,1,,,,,,,,,
527,Randy,2,I'm...  I'm not ready...,10,Southpark,24,4,,,,,,,,,
530,Randy,2,"Perhaps... one day... we can learn to drive hybrids without being smug about it, but for now... the technology is just too much for us.",10,Southpark,135,25,,,,,,,,,
532,Cartman,2,"Well, looks like you're back for good, huh Kyle?",10,Southpark,48,9,,,,,,,,,
533,Kyle,2,"Yeah, I guess so.",10,Southpark,17,4,,,,,,,,,
