index,character,episode,line,season,show,characters_spoken,words_spoken
47,Ted,1," Wai-no, no, no. We're not playing ""Have You Met Ted?""",1,How I Met Your Mother,54,10
48,Barney,1,"  Hi, have you met Ted? .",1,How I Met Your Mother,25,6
49,Ted,1,"  Hi, I'm Ted.",1,How I Met Your Mother,14,3
51,Ted,1, It's a very pretty name.,1,How I Met Your Mother,25,5
56,Marshall,1, Hey!,1,How I Met Your Mother,5,1
57,Lily,1," Urgh. I'm exhausted. It was finger painting day at school, and a five year old boy  got to second base with me. Wow, you're cooking?",1,How I Met Your Mother,133,25
58,Marshall,1," Yes, I am.",1,How I Met Your Mother,11,3
59,Lily,1, Aww- Are you sure that's a good idea after last time? You looked really creepy without eyebrows.,1,How I Met Your Mother,97,17
60,Marshall,1, I can handle this; I'm full of surprises tonight.,1,How I Met Your Mother,50,9
61,Lily,1, So there's more surprises? Like what?,1,How I Met Your Mother,38,6
63,Marshall,1, BOOGITY BOO! And that's all of them! I'm goanna go... cook. ,1,How I Met Your Mother,61,11
65,Ted,1," I'm so happy for Marshall, I really am. I just couldn't imagine settling down right now.",1,How I Met Your Mother,89,16
67,Ted,1," Well maybe eventually. Some fall day. Possibly in Central Park. Simple ceremony, we'll write our own vows. But--eh--no DJ, people will dance. I'm not going to worry about it! Damn it, why did Marshall have to get engaged?  Yeah, nothing hotter than a guy planning out his own imaginary wedding, huh?",1,How I Met Your Mother,300,51
69,Ted,1," Well, you're clearly drunk  ONE MORE FOR THE LADY!",1,How I Met Your Mother,51,9
71,Marshall,1," Okay, look what I got ",1,How I Met Your Mother,23,5
72,Lily,1, Aw-honey. Champagne! ,1,How I Met Your Mother,22,2
73,Marshall,1,  Yeah. ,1,How I Met Your Mother,8,1
74,Lily,1,"  No, you are too old to be scared to open a bottle of champagne!",1,How I Met Your Mother,65,14
75,Marshall,1, I'm not scared.,1,How I Met Your Mother,16,3
76,Lily,1, Then open it!,1,How I Met Your Mother,14,3
77,Marshall,1, Fine  Please open it ,1,How I Met Your Mother,22,4
78,Lily,1," You are unbelievable, Marshall. No-",1,How I Met Your Mother,36,5
80,Marshall,1,  will you marry me?,1,How I Met Your Mother,20,4
81,Ted,1,  you wanna go out sometime?,1,How I Met Your Mother,28,5
83,Lily,1," Of course, you idiot! ",1,How I Met Your Mother,23,4
86,Ted,1," Sup, Carl?",1,How I Met Your Mother,11,2
88,Marshall,1, I promised Ted we wouldn't do that.,1,How I Met Your Mother,36,7
89,Lily,1, Did you know there's a pop tart under your fridge?,1,How I Met Your Mother,51,10
90,Marshall,1," No, but dibs. Where's that champagne? I wanna drink a toast with my fiancí©.",1,How I Met Your Mother,77,14
91,Lily,1, aww ,1,How I Met Your Mother,5,1
92,Marshall,1, I don't know why I was so scared of this. Pretty easy right? ,1,How I Met Your Mother,62,13
93,Lily,1, ,1,How I Met Your Mother,1,0
94,Marshall,1,  OH!,1,How I Met Your Mother,5,1
95,Ted,1, Why am I freaking out all of a sudden? This is crazy! I'm not ready to settle down.,1,How I Met Your Mother,84,18
96,Barney,1,  how does Carl land a Lebanese girl?,1,How I Met Your Mother,37,7
97,Ted,1," It's always been ""don't even think about it till you're thirty""",1,How I Met Your Mother,64,11
98,Barney,1, Exactly-the guy doesn't even own a suit!,1,How I Met Your Mother,41,7
99,Ted,1," Plus Marshall's found the love of his life. Even if I was ready, which I'm not, but if I was it's like, ""Okay, I'm ready! Where is she?"" ",1,How I Met Your Mother,138,28
106,Ted,1," Hey Barney, see that girl?",1,How I Met Your Mother,27,5
108,Barney,1,"  Hey, have you met Ted?",1,How I Met Your Mother,24,5
109,Robin,1," Let me guess,  Ted?",1,How I Met Your Mother,20,4
114,Marshall,1," I'm sorry, Lily. I'm so sorry. Take us to the hospital.",1,How I Met Your Mother,56,11
117,Lily,1," Hit me? Please, this guy could barely even spank me in bed for fun. He's all like,  ""Oh, did that hurt?"" and I'm like, ""Come on, let me have it you pansy!""  Wow, complete stranger.",1,How I Met Your Mother,181,35
120,Ted,1, So what do you do?,1,How I Met Your Mother,19,5
121,Robin,1, I'm a reporter for Metro News 1.,1,How I Met Your Mother,33,7
122,Ted,1,  Oh.,1,How I Met Your Mother,5,1
123,Robin,1," Well, kind of a reporter. I do those dumb little fluff pieces at the end of the news, you know. Like-um-monkey that can play the ukulele. I'm hoping to get some bigger stories soon.",1,How I Met Your Mother,182,34
124,Ted,1," Bigger like, uh, gorilla with an up-right bass? Sorry, you're really pretty.  Oh, your friends don't seem too happy.",1,How I Met Your Mother,117,19
125,Robin,1," Yeah, see the one in the middle just got dumped by her boyfriend so tonight every guy is... ""The enemy"".",1,How I Met Your Mother,105,20
126,Ted,1, You know if you don't make your friend feel better you could throw a drink at my face. I don't mind.,1,How I Met Your Mother,101,21
127,Robin,1, She would love that! It does look fun in the movies.,1,How I Met Your Mother,53,11
128,Ted,1," Hey, you wanna have dinner with me Saturday night?",1,How I Met Your Mother,51,9
129,Robin,1," Oh, I can't. I'm going to Orlando for a week on Friday. Some guys attempting to make a big  so my news is covering it.",1,How I Met Your Mother,119,25
130,Ted,1, That's going to take a week?,1,How I Met Your Mother,29,6
131,Robin,1," Yeah, he's going to eat it too, it's another record.",1,How I Met Your Mother,53,10
133,Ted,1," Uh, I know this is a long shot, but how about tomorrow night?",1,How I Met Your Mother,62,13
134,Robin,1,"  Yeah,  What the hell  JERK!  that was fun.",1,How I Met Your Mother,44,8
135,Barney,1,  De-wait for it-nied! Denied!,1,How I Met Your Mother,30,4
136,Ted,1, We're going out tomorrow night.,1,How I Met Your Mother,32,5
137,Barney,1, I thought we were playing laser tag tomorrow night?,1,How I Met Your Mother,52,9
138,Ted,1," Yeah, I was never going to go play laser tag. ",1,How I Met Your Mother,47,10
143,Robin,1, Wow that is one bad-ass blue French horn.,1,How I Met Your Mother,42,8
144,Ted,1, Yeah.,1,How I Met Your Mother,6,1
145,Robin,1, Mhmm.,1,How I Met Your Mother,6,1
146,Ted,1, Sort of looks like a... Smurf pen1s.,1,How I Met Your Mother,37,7
153,Marshall,1, Lilly?,1,How I Met Your Mother,7,1
155,Lily,1, How long have you been sitting there!? Stupid eye patch.,1,How I Met Your Mother,57,10
157,Ted,1," Mom, dad, I have found the future Mrs. Ted Mosby! Marshall, how have I always described my perfect woman?",1,How I Met Your Mother,106,19
158,Marshall,1, Oh let's see  she likes dogs?,1,How I Met Your Mother,30,6
160,Robin,1, I've got five dogs.,1,How I Met Your Mother,20,4
162,Marshall,1,...she drinks scotch?,1,How I Met Your Mother,21,3
164,Robin,1, I love a scotch that's old enough to order its own scotch.,1,How I Met Your Mother,59,12
166,Marshall,1," Can quote obscure lines from ""Ghostbusters""?",1,How I Met Your Mother,45,6
168,Robin,1," Ray, when someone asks you if you're a god you say, ""Yes!""",1,How I Met Your Mother,59,12
170,Ted,1, And I'm saving the best for last.,1,How I Met Your Mother,34,7
172,Robin,1, Do you want these?  I hate olives.,1,How I Met Your Mother,35,7
174,Marshall,1, She hates olives! Awesome!,1,How I Met Your Mother,27,4
175,Lily,1, The olive theory.,1,How I Met Your Mother,18,3
177,Ted,1," The olive theory is based on my friends, Marshall and Lily. He hates olives, she loves them. In a weird way that's what makes them such a great couple. A Perfect balance .",1,How I Met Your Mother,172,33
178,Robin,1," You know, I've had a jar of olives just sitting in my fridge forever.",1,How I Met Your Mother,70,14
179,Ted,1,  I can take them off your hands.,1,How I Met Your Mother,33,7
180,Robin,1,  they're all yours.,1,How I Met Your Mother,20,3
182,Marshall,1," Oh, it is on! It is on  till the break of dawn.",1,How I Met Your Mother,48,12
183,Lily,1," wait, it's only the break of ten-thirty. What happened?",1,How I Met Your Mother,56,9
185,Robin,1," I've gotta get one of those blue French horns for over my fireplace. It's gotta be blue, it's gotta be French.",1,How I Met Your Mother,111,21
186,Ted,1, No Green Clarinet?,1,How I Met Your Mother,19,3
187,Robin,1, No.,1,How I Met Your Mother,4,1
188,Ted,1," Come on, no purple tuba?",1,How I Met Your Mother,25,5
189,Robin,1," It's a smurf pen1s, we're no dice.",1,How I Met Your Mother,35,7
192,Robin,1," Um, alright. I'll be right there.  I'm sorry. I had a really great time tonight.",1,How I Met Your Mother,81,15
193,Ted,1, Yeah.,1,How I Met Your Mother,6,1
195,Marshall,1, So? Did you kiss her?,1,How I Met Your Mother,22,5
196,Ted,1," No. The moment wasn't right.  Look, this woman could be my future wife; I want our first kiss to be amazing.",1,How I Met Your Mother,109,21
197,Lily,1," Aww, Ted that's so sweet. So you chickened out like the little bitch.",1,How I Met Your Mother,70,13
198,Ted,1, What? I did not chicken out! You know what? I don't need to take first kiss advice from some pirate who hasn't been single since the first week of college.,1,How I Met Your Mother,156,30
199,Lily,1," Ted, anyone who's single would tell you the same thing. Even the dumbest single person alive, and if you don't believe me...call him.",1,How I Met Your Mother,134,23
202,Barney,1,"  Hey loser, how's not playing laser tag? Because playing laser tag is awesome! Oh, I killed you Connor; don't make me get your mom!",1,How I Met Your Mother,132,24
203,Ted,1," Hey, listen. I need your opinion on something.",1,How I Met Your Mother,47,8
204,Barney,1," Okay, meet me at the bar in fifteen minutes-AND SUIT UP!",1,How I Met Your Mother,57,11
208,Ted,1, So these guys think I chickened out. What do you think?,1,How I Met Your Mother,56,11
209,Barney,1, I can't believe you're still not wearing a SUIT!,1,How I Met Your Mother,49,9
210,Ted,1, She didn't even give me the signal.,1,How I Met Your Mother,36,7
211,Barney,1," What is she goanna-is she goanna bat her eyes at you in Morse code ?? Ted  Kiss me-No, you just kiss her!",1,How I Met Your Mother,106,22
212,Ted,1, Not if you don't get the signal.,1,How I Met Your Mother,33,7
213,Barney,1, Ee- Did Marshall give me the signal?,1,How I Met Your Mother,37,7
214,Marshall,1," No!  I didn't, I swear.",1,How I Met Your Mother,24,5
215,Barney,1," But see-at least, tonight, I get to sleep knowing, Marshall and Me... never going to happen. You should've kissed her.",1,How I Met Your Mother,119,20
216,Ted,1," Urgh, I should've kissed her. What about when she gets back from Orlando?",1,How I Met Your Mother,74,13
217,Barney,1, A week? That's like-a year in hot girl time. She'll forget all about you. Mark my words,1,How I Met Your Mother,88,17
219,Ted,1, There she is...,1,How I Met Your Mother,16,3
220,Lily,1," Ooo. She's cute!  Hey Carl, turn it up!",1,How I Met Your Mother,40,8
221,Robin,1," ...persuaded him to reconsider at which point the man came down off the ledge, giving this bizarre story a happy ending. Reporting from",1,How I Met Your Mother,136,23
222,Marshall,1," Huh, guy didn't jump",1,How I Met Your Mother,21,4
223,Robin,1,"  Metro One News, back to you bill.",1,How I Met Your Mother,35,7
224,Ted,1, I'm goanna go kiss her. Right now.,1,How I Met Your Mother,35,7
225,Marshall,1," Oh-Dude, it's midnight. As your future lawyer I'm goanna advise you",1,How I Met Your Mother,68,11
226,Ted,1," I never do anything crazy! I'm always waiting for the moment! Planning the moment! Well she's leaving tomorrow this may be the only moment I'm goanna get! I gotta do what that guy couldn't, I gotta take the leap! Okay not a perfect metaphor, for me it's fall in love and get married-for him it's... death.",1,How I Met Your Mother,306,56
227,Barney,1," Actually, that is a perfect metaphor. By the way, did I congratulate you two? ",1,How I Met Your Mother,79,14
228,Ted,1, I'm doing this. ,1,How I Met Your Mother,17,3
229,Lily,1, Let's go ,1,How I Met Your Mother,10,2
230,Marshall,1, Word up!,1,How I Met Your Mother,9,2
231,Lily,1, We're coming with you.,1,How I Met Your Mother,23,4
232,Ted,1,...Barney?,1,How I Met Your Mother,10,1
233,Barney,1," Alright, but under one condition.",1,How I Met Your Mother,34,5
235,Barney,1,"  look at you, you beautiful b*st*rd, you suited up! This is totally going in my blog!",1,How I Met Your Mother,86,16
236,Ted,1,  Stop the car. Uh-pull over right here. I gotta do something.,1,How I Met Your Mother,62,11
238,Ted,1," Excuse me, pardon me.  Enjoy your coffee. ",1,How I Met Your Mother,43,7
241,Ted,1," go, go, GO!  Everybody brings flowers.",1,How I Met Your Mother,39,6
246,Ted,1,  Okay. Moment of truth. Wish me luck. ,1,How I Met Your Mother,39,7
247,Barney,1, Ted's goanna get it on with a TV reporter  This just in. Okay ,1,How I Met Your Mother,63,13
248,Lily,1," Kiss her, Ted. Kiss her good.",1,How I Met Your Mother,30,6
249,Marshall,1, Kiss the crap out of that girl,1,How I Met Your Mother,31,7
250,Ted,1," Marshall, remember this night. When you're the best man at our wedding and you give a speech, you're goanna tell this story. ",1,How I Met Your Mother,126,22
251,Barney,1, Why does he get to be the best man?  I'M YOUR BEST FRIEND!,1,How I Met Your Mother,59,13
254,Robin,1, I've got five dogs.,1,How I Met Your Mother,20,4
257,Ted,1," Not good, not good, not good, not good.",1,How I Met Your Mother,40,8
258,Lily,1, No!,1,How I Met Your Mother,4,1
259,Marshall,1, Go back in there!,1,How I Met Your Mother,18,4
260,Barney,1, You're wearing a suit!,1,How I Met Your Mother,23,4
262,Robin,1,  Ted?,1,How I Met Your Mother,6,1
263,Ted,1, Hi!  I was just uh-,1,How I Met Your Mother,20,5
264,Robin,1, Come on up.,1,How I Met Your Mother,12,3
267,Marshall,1, He's in.,1,How I Met Your Mother,9,2
268,Barney,1," So,  Ranjit... you must've done it with a Lebanese girl.",1,How I Met Your Mother,57,10
269,Lily,1, Okay-that's my Barney Limit.  I'm goanna see if that Bodega has a bathroom. ,1,How I Met Your Mother,77,13
271,Barney,1, The women hot there?,1,How I Met Your Mother,21,4
273,Barney,1,  Simple no would have sufficed.  She's lovely.,1,How I Met Your Mother,47,7
275,Robin,1," So, Ted. What brings you back to Brooklyn at one in the morning in a-suit.",1,How I Met Your Mother,75,15
276,Ted,1, I was just hoping to get those olives... that you said I could have.,1,How I Met Your Mother,69,14
277,Robin,1, Would you like those olives with some Gin and Vermouth?,1,How I Met Your Mother,56,10
278,Ted,1, Are you trying to get me drunk?,1,How I Met Your Mother,32,7
279,Robin,1, For starters ,1,How I Met Your Mother,14,2
280,Ted,1,  Thank you.,1,How I Met Your Mother,12,2
282,Barney,1," So, Marshall. This ""Olive Theory"" based on you and Lily?",1,How I Met Your Mother,57,10
283,Marshall,1, Yeah...,1,How I Met Your Mother,8,1
284,Barney,1," You hate olives? Lily loves them, you can't stand them.",1,How I Met Your Mother,56,10
285,Marshall,1," Yeah, hate olives.",1,How I Met Your Mother,19,3
286,Barney,1," Two weeks ago, Spanish bar on 79th Street, dish of olives-you had some. What up?",1,How I Met Your Mother,81,15
287,Marshall,1,  You have to swear that this does not leave this cab.,1,How I Met Your Mother,54,11
288,Barney,1, I swear.,1,How I Met Your Mother,9,2
290,Marshall,1," On our first date, I ordered a Greek salad; Lily asked if she could have my olives. I said, ""Sure... I hate olives.""",1,How I Met Your Mother,117,23
291,Barney,1, But you like olives!,1,How I Met Your Mother,21,4
292,Marshall,1," Well, I was eighteen, okay? I was a virgin. Been waiting for my whole life for a pretty girl to want my olives.",1,How I Met Your Mother,112,23
293,Barney,1," Marshall, I'm going to get you an early wedding present. Don't get married.",1,How I Met Your Mother,76,13
296,Robin,1," I think I like your ""Olive Theory"".",1,How I Met Your Mother,36,7
297,Ted,1, I think I like your French Horn.,1,How I Met Your Mother,33,7
298,Robin,1, I think I like your nose.,1,How I Met Your Mother,26,6
299,Ted,1, I think I'm in love with you.,1,How I Met Your Mother,30,7
306,Robin,1, What?,1,How I Met Your Mother,6,1
308,Barney,1," Come on man, you said your stomach's been hurting, right? You know what that is! Hunger. You're hungry for experience. Hungry for something new. Hungry for olives. But you're too scared to do anything about it.",1,How I Met Your Mother,211,36
309,Marshall,1," Yeah, I'm scared, okay? But when I think about spending the rest of my life with Lily... committing forever, no other women  doesn't scare me at all. I'm marrying that girl.  Lily. Lily, I like olives.",1,How I Met Your Mother,202,36
310,Lily,1, We'll make it work. ,1,How I Met Your Mother,21,4
314,Ted,1," So Orlando, you goanna hit Disney World?",1,How I Met Your Mother,41,7
315,Robin,1, You love me?,1,How I Met Your Mother,13,3
316,Ted,1," Oh, god, I can't believe I said that. Why did I say that? Who says that? I should just go. ",1,How I Met Your Mother,92,20
317,Robin,1, Hold on.  Wait a minute.  Promised you these.,1,How I Met Your Mother,46,8
318,Ted,1, Olives. Thanks. I love you. What's wrong with me?,1,How I Met Your Mother,50,9
320,Barney,1," Why are we still sitting here? Let's go! We can still make last call. What do you say Lil?  Yo, ho ho and a bottle o' rum?  'Cuz you're a pirate...",1,How I Met Your Mother,148,31
321,Lily,1," Okay, eye patch gone- And we can't just abandon Ted. If it doesn't go well up there he's gonna need some support.",1,How I Met Your Mother,114,22
322,Marshall,1, It's been like twenty minutes. You think they're doin' it?,1,How I Met Your Mother,59,10
323,Barney,1, You think they're doing it in front of the dogs?,1,How I Met Your Mother,49,10
324,Marshall,1, Doggie style. ,1,How I Met Your Mother,15,2
325,Barney,1, I had this girl in college; she had a golden retriever-,1,How I Met Your Mother,56,11
326,Lily,1," Okay, we can go to the bar, just stop talking.",1,How I Met Your Mother,47,10
327,Barney,1, Hit it Ranjit. ,1,How I Met Your Mother,16,3
329,Ted,1," So when you tell this story to your friends, could you avoid the word ""psycho""? I prefer...eccentric.",1,How I Met Your Mother,102,17
330,Robin,1," Good night, psycho . ",1,How I Met Your Mother,22,4
331,Ted,1, Great  Umm... how do I get to the F Train?,1,How I Met Your Mother,43,10
332,Robin,1," Oh, um-two blocks  that way  and take a right.",1,How I Met Your Mother,47,9
333,Ted,1,"  Thanks.  You know what? . I'm done being single. I'm not good at it. Look, obviously you can't tell a woman you just met you love her. But... it sucks that you can't. I'll tell you something though, if a woman-not you... just some hypothetical woman-were to bare with me through all this. I think I'd make a damn good husband. Because that's the stuff I'd be good at. Stuff like making her laugh and being a good father... and walking her five hypothetical dogs. Being a good kisser.",1,How I Met Your Mother,485,89
334,Robin,1, Everyone thinks they're a good kisser.,1,How I Met Your Mother,39,6
335,Ted,1," Oh, I've got references.",1,How I Met Your Mother,25,4
336,Robin,1," Good night, Ted. ",1,How I Met Your Mother,18,3
337,Ted,1, And I'm a good hand shaker,1,How I Met Your Mother,27,6
338,Robin,1, that's a pretty great hand shake. ,1,How I Met Your Mother,35,6
340,Ted,1," And that was it, probably never see her again.  What?",1,How I Met Your Mother,54,10
341,Marshall,1, That was the signal!,1,How I Met Your Mother,21,4
342,Lily,1, That long lingering handshake-you should've kissed her!,1,How I Met Your Mother,56,7
343,Barney,1, There's no such thing as the signal. But yeah-that was the signal.,1,How I Met Your Mother,67,12
348,Ted,1, Carl!?  You guys weren't there.,1,How I Met Your Mother,32,5
350,Lily,1, I am so turned on right now.,1,How I Met Your Mother,29,7
351,Ted,1," Guys, trust me. I've seen the signal. That was not the signal.",1,How I Met Your Mother,63,12
352,Barney,1," Yeah Ted, we're not on you anymore.",1,How I Met Your Mother,36,7
353,Marshall,1,  To my fiancí©!,1,How I Met Your Mother,16,3
354,Lily,1,  to the future!,1,How I Met Your Mother,16,3
356,Ted,1, That was not the signal!,1,How I Met Your Mother,25,5
380,Barney,2," I suggest we play a little game I like to call, ""Have you Met Ted?""",1,How I Met Your Mother,68,15
381,Ted,2," No, no, no-we're not playing ""Have you Met Ted!""",1,How I Met Your Mother,49,9
382,Barney,2,  Hi! Have you met Ted? ,1,How I Met Your Mother,24,5
384,Ted,2, I think I'm in love with you.,1,How I Met Your Mother,30,7
385,Robin,2, What?,1,How I Met Your Mother,6,1
392,Marshall,2," So you're not goanna call her? You went from, ""I think I'm in love with you"" to ""I'm not gonna call her?""",1,How I Met Your Mother,106,22
393,Ted,2," I wasn't in love with her, okay? I was briefly in love with the abstract idea of getting married! That had absolutely nothing to do with Robin.  Robin!",1,How I Met Your Mother,152,28
394,Robin,2, Hey!,1,How I Met Your Mother,5,1
395,Lily,2, Look who I ran into!,1,How I Met Your Mother,21,5
396,Ted,2, Since when do you guys know each other?,1,How I Met Your Mother,40,8
397,Robin,2," Uh... since about  here. Lily recognized me from the news and- Hello, Sailor!",1,How I Met Your Mother,78,13
398,Ted,2, They just got engaged.,1,How I Met Your Mother,23,4
399,Robin,2," Well, I should get back to the station. See you guys.  Nice seeing you, Ted.",1,How I Met Your Mother,77,15
400,Ted,2," Yeah, you too.  Damn it.",1,How I Met Your Mother,25,5
401,Lily,2, What?,1,How I Met Your Mother,6,1
402,Ted,2, I'm in love with her.,1,How I Met Your Mother,22,5
403,Barney,2,  No! As your sponsor I will not let you relapse. You blew it; it's over-move on.,1,How I Met Your Mother,81,16
404,Ted,2, I don't know! I just have this feeling. She's the future Mrs. Ted Mosby.,1,How I Met Your Mother,73,14
406,Ted,2," Lily, you squeaked?",1,How I Met Your Mother,20,3
408,Ted,2," She said something about me didn't she? Come on, spill it, Red.",1,How I Met Your Mother,64,12
409,Lily,2, Fine!,1,How I Met Your Mother,6,1
411,Lily,2, So what do we think of Ted?,1,How I Met Your Mother,28,7
412,Robin,2,  Ted's something else.,1,How I Met Your Mother,23,3
414,Ted,2," Huh... I'm gonna spin that as good. Lots of guys are ""something"", I'm ""something else"".",1,How I Met Your Mother,88,15
416,Robin,2, Comes on a little strong.,1,How I Met Your Mother,26,5
418,Ted,2, But...that's part of my charm.,1,How I Met Your Mother,31,5
420,Lily,2, But that's part of his charm.,1,How I Met Your Mother,30,6
421,Robin,2," Oh, totally. I mean, he's sweet, he's charming, he's just looking for something a little bit more serious than I am. I mean the most I can handle right now is something casual. This just stays between us, right?",1,How I Met Your Mother,212,39
422,Lily,2, Are you kidding? This flapper-for knocks.,1,How I Met Your Mother,42,6
424,Lily,2,  Oops...,1,How I Met Your Mother,9,1
425,Ted,2," She wants casual. Okay, I'll be casual. I'm gonna be a mushroom cloud of casual. You know why? Cause it's a game! I wanted to skip to the end and do the ""happily ever after"" thing but you don't get there unless you play the game.",1,How I Met Your Mother,230,46
426,Marshall,2, So're you gonna ask her out?,1,How I Met Your Mother,29,6
427,Ted,2," Yeah-No! I can't ask her out, because if I ask her out I'm asking her out. So how do I ask her out, without asking her out? ",1,How I Met Your Mother,125,27
429,Lily,2, Did you guys get high?,1,How I Met Your Mother,23,5
430,Ted,2, I got it! I don't ask her out... I invite her to our party next Friday.,1,How I Met Your Mother,72,16
431,Marshall,2, We're having a party next Friday?,1,How I Met Your Mother,34,6
432,Ted,2, We are now-Casual,1,How I Met Your Mother,18,3
433,Barney,2," Yeah, cuz nothing says ""Casual"" like inviting a hundred people over just to ""Mac"" on one girl. Oh, and Lily-that's my leg.",1,How I Met Your Mother,123,22
434,Lily,2, You waited five minutes to tell me that?,1,How I Met Your Mother,41,8
435,Marshall,2, Alright-so call her up!,1,How I Met Your Mother,24,4
436,Ted,2," No-calling's not casual! I just gotta bump into her somewhere. If only I knew her schedule I could arrange a ""chance"" encounter.",1,How I Met Your Mother,129,22
437,Lily,2," that's great, Ted. You'll be the most ""Casual"" stalker ever.",1,How I Met Your Mother,61,10
443,Marshall,2," Baby, no. I have a twenty-five paged paper on unconstitutional law due on Monday, I barely started,",1,How I Met Your Mother,100,17
444,Lily,2," Hey, I'm just sitting here. Wearing my ring... my beautiful ring. Kind of makes wearing other stuff seem wrong. Like my shirt. Kind of don't wanna wear my shirt anymore. Or... my underwear. Oh-that's right-I'm not wearing any.",1,How I Met Your Mother,227,38
445,Marshall,2,  No underwear?,1,How I Met Your Mother,15,2
446,Lily,2, Not slightly.,1,How I Met Your Mother,14,2
448,Ted,2," Guys, boundaries! There she is!",1,How I Met Your Mother,32,5
449,Robin,2,"  Thanks Bill, I'm reporting from the Razzle Dazzle Supermarket on 75th in Columbus",1,How I Met Your Mother,83,13
450,Ted,2, 75th in Columbus.  Game on! ,1,How I Met Your Mother,29,5
452,Robin,2," where four year old, Leroy Ellensburg, climbed inside a grab a prize machine  and gotten stuck.",1,How I Met Your Mother,96,16
455,Robin,2," And on the pursuit of a stuffed purple giraffe.  From Metro News One, I'm Robin Scherbatsky. ",1,How I Met Your Mother,94,16
458,Robin,2,  Thanks.  Ted?,1,How I Met Your Mother,15,2
459,Ted,2,"  Robin, wow! What are the odds?",1,How I Met Your Mother,32,6
460,Robin,2, What are you doing here?,1,How I Met Your Mother,25,5
461,Ted,2," Oh, you know, just-uh-Shopping for-uh-dip  I love dip... I mean I don't love dip, I like dip. As a friend, you know. So-uh-hey, you-uh-reporting a news story or something? ",1,How I Met Your Mother,173,29
462,Robin,2," Yeah, kid stuck in a crane machine, how sweet of you to call it news.",1,How I Met Your Mother,70,15
463,Ted,2," Wow, kid in a crane machine  You just had to have that toy didn't ya? Couldn't play the game like everyone else.",1,How I Met Your Mother,113,22
465,Ted,2," Cute kid  Um yeah it's f-it's so funny running into your we're having a party next Friday if-if you like swinging by! But, you know, whatever.",1,How I Met Your Mother,143,26
466,Robin,2," Oh, I'm going back home next weekend. It's too bad it's not tonight.",1,How I Met Your Mother,69,13
467,Ted,2,"  It is, it's tonight. This Friday, Did I say next Friday? Yeah-sorry-cuz I've been saying ""next Friday"" all week, but yeah it's tonight. The-uh-party's tonight. But, you know, whatever.",1,How I Met Your Mother,186,29
472,Marshall,2, Hello?,1,How I Met Your Mother,7,1
473,Ted,2,"  hey, am I interrupting anything? ",1,How I Met Your Mother,35,5
474,Marshall,2," No, no I'm just writing my paper. Hitting the books.",1,How I Met Your Mother,53,10
