,character,episode,line,season,show,characters_spoken,words_spoken
41,Squidward,2," That's not art. That's just annoying. Blowing bubbles, that's the lamest idea I have ever heard.  You should be ashamed of yourselves.  Bubbles.  Art. ",1,SpongeBob SquarePants,152,24
42,SpongeBob,2," That'll be 25 cents, sir.",1,SpongeBob SquarePants,26,5
43,Squidward,2," Ah, whoa, what?  Oh... who-who would pay 25 cents to blow bubbles?",1,SpongeBob SquarePants,67,12
44,SpongeBob,2, We also offer lessons for beginners. ,1,SpongeBob SquarePants,38,6
45,Squidward,2," Beginners? What could be more simple than blowing a stupid bubble?  Here's your 25 cents!  Watch and learn.  Uhh... wait, wait, wait.  One more time. Here. Wait.  Uhh... Just a mere warm-up. ",1,SpongeBob SquarePants,192,32
46,SpongeBob,2," Hey, Squidward, remember the technique. ",1,SpongeBob SquarePants,41,5
48,SpongeBob,2,  You're not doing the technique.,1,SpongeBob SquarePants,33,5
49,Patrick,2, Technique.,1,SpongeBob SquarePants,11,1
50,Squidward,2," Technique? Technique!? Technique, technique, technique, technique, technique!  First I do this, spin around. Stop. Double take three times. And here we go, pelvic thrust. Wehooooo! Wehoohoo! Oh, stop on your right foot, don't forget it. Then, bring it around town. And a little of this, a little of that, a little of this, this, this, this, that, that, that, that. And that, that, that that that that! And then... ",1,SpongeBob SquarePants,415,69
52,SpongeBob,2," All right, Squid! That was so good!",1,SpongeBob SquarePants,36,7
53,Patrick,2, Squid is number one!,1,SpongeBob SquarePants,21,4
54,Squidward,2," I really did it, didn't I? Hey, you guys didn't blow anything like that! ",1,SpongeBob SquarePants,74,14
55,SpongeBob,2, No.,1,SpongeBob SquarePants,4,1
56,Squidward,2, Now that's a bubble!,1,SpongeBob SquarePants,21,4
57,SpongeBob,2," You said it, Squidward. See, it is all in the technique!",1,SpongeBob SquarePants,57,11
58,Patrick,2," Yeah, technique.",1,SpongeBob SquarePants,17,2
59,Squidward,2," Technique? Hah! SpongeBob, you don't think I created that  beautiful work of art with your help?  Come on, it's in my genes.",1,SpongeBob SquarePants,125,22
61,Squidward,2," Thank you, thank you, thank you.  I rock. ",1,SpongeBob SquarePants,43,8
62,SpongeBob,2,  Squidward! ,1,SpongeBob SquarePants,13,1
64,Squidward,2," Hello, my friends. You are looking at a... ",1,SpongeBob SquarePants,44,8
66,Squidward,2, ...genius. ,1,SpongeBob SquarePants,12,1
74,SpongeBob,3,  I think I've got it! Wait a minute... ,1,SpongeBob SquarePants,40,8
75,Squidward,3, Hm.,1,SpongeBob SquarePants,4,1
76,SpongeBob,3," Hey Squidward, we're jellyfishing.",1,SpongeBob SquarePants,35,4
77,Squidward,3, Of course you are. Bye now. ,1,SpongeBob SquarePants,29,6
78,SpongeBob,3, Wait! We made a net especially for you!  Do you want to come with us?,1,SpongeBob SquarePants,70,15
79,Patrick,3, Patrick.,1,SpongeBob SquarePants,9,1
80,Squidward,3, Right. But I can't. Bye bye.,1,SpongeBob SquarePants,29,6
81,SpongeBob,3, Next time?,1,SpongeBob SquarePants,11,2
82,Squidward,3," Oh sure, right! Whatever.  Like that'll ever happen.",1,SpongeBob SquarePants,53,8
83,SpongeBob,3," You know, Patrick? It always seems like Squidward never has time for fun.",1,SpongeBob SquarePants,74,13
84,Patrick,3, Maybe he doesn't like us.,1,SpongeBob SquarePants,26,5
85,SpongeBob,3," No, are you kidding? We're his best friends. ",1,SpongeBob SquarePants,46,8
86,Squidward,3," Jellyfishing.  Oh, I'll go.  I sure had them going.  Stupid jellyfish! Beat it! ",1,SpongeBob SquarePants,81,13
87,SpongeBob,3, Squid's back! ,1,SpongeBob SquarePants,15,2
88,Patrick,3, Yello?,1,SpongeBob SquarePants,7,1
89,SpongeBob,3," Hey Patrick, Squid's home! And we're gonna make sure he's greeted by his two best friends!",1,SpongeBob SquarePants,91,16
90,Patrick,3, Oh great! Who are they? ,1,SpongeBob SquarePants,25,5
91,SpongeBob,3," Us!  Let's go!  Welcome home, Squidward!",1,SpongeBob SquarePants,41,6
92,Patrick,3, Merry Christmas!,1,SpongeBob SquarePants,17,2
93,SpongeBob,3," We're gonna make this your best day ever!  Well, your best day's sure not gonna be out there. ",1,SpongeBob SquarePants,95,18
94,Patrick,3," How about some soup on your best day ever?  Here we go!  Oh, it's a little hot. ",1,SpongeBob SquarePants,81,17
95,SpongeBob,3," I don't think soup is the best thing for him on his best day ever.  How about some music on your best day ever? Played on your very own clarinet.  Sorry, my lips are a little dry. ",1,SpongeBob SquarePants,181,37
96,Patrick,3, Music isn't best either!,1,SpongeBob SquarePants,25,4
97,SpongeBob,3, But what is best is what we saved for last. The one sure-fire thing to make your best day ever the best day ever! ,1,SpongeBob SquarePants,115,24
99,SpongeBob,3," This is Jellyfish Fields, where wild jellyfish roam just waiting to be captured.  No, no, Squid! Over here! I know you're eager, but you don't even have your net. Pat, fix him up while I find him a good specimen.",1,SpongeBob SquarePants,213,40
100,Patrick,3, Firmly grasp it in your hand.  Firmly grasp it.  Firmly grasp it!  That oughta do it. ,1,SpongeBob SquarePants,87,16
101,SpongeBob,3, There's one in position. Ready... set... go! ,1,SpongeBob SquarePants,46,7
102,Patrick,3, I think we gotta show him how it's done. ,1,SpongeBob SquarePants,42,9
103,SpongeBob,3, Hey look! Squid's doing it! ,1,SpongeBob SquarePants,29,5
104,Patrick,3, This guy's good.,1,SpongeBob SquarePants,17,3
105,SpongeBob,3, He's a natural!,1,SpongeBob SquarePants,16,3
106,SpongeBob,3,"  Yeah, you're doing great Squidward!",1,SpongeBob SquarePants,37,5
107,Patrick,3,"  Yeah, you got it Squidward! Yeah, you're doing it Squidward! See who'd you been missing?",1,SpongeBob SquarePants,90,15
108,SpongeBob,3,"  Yeah, you got Squidward! You got it Squidward!",1,SpongeBob SquarePants,48,8
109,Patrick,3,"  You got what you wanted, Squidward! You can do that distance! Use that net!",1,SpongeBob SquarePants,77,14
110,SpongeBob,3, Be the net!,1,SpongeBob SquarePants,12,3
111,Patrick,3," Yeah! You're feeling it Squid! That's it, all the way! The last 6 miles, make that Squid! Go, go, go!",1,SpongeBob SquarePants,102,20
112,SpongeBob,3,"  Yeah, go by the eye of the tiger, by the eye of the tiger, by the eye of the tiger! Better, better, better! Yeah, yeah, yeah! You've got it now!",1,SpongeBob SquarePants,146,30
113,Patrick,3, It's in the bag!,1,SpongeBob SquarePants,17,4
114,SpongeBob,3," This is really your best day ever, isn't it?",1,SpongeBob SquarePants,45,9
116,SpongeBob,3," Hey, Patrick. Well...  Thought yesterday went...  pretty well, don't you think?",1,SpongeBob SquarePants,80,11
117,Patrick,3, I had fun.,1,SpongeBob SquarePants,11,3
118,SpongeBob,3, Me too. ,1,SpongeBob SquarePants,9,2
119,Patrick,3, Here comes Squidward!,1,SpongeBob SquarePants,22,3
120,SpongeBob,3," Oh, great.  Hey Squid! How about that...  ...best day ever?",1,SpongeBob SquarePants,60,10
121,Patrick,3, There's always tomorrow! ,1,SpongeBob SquarePants,26,3
122,SpongeBob,3," Um, we're really sorry about what happened yesterday, Squidward.  Um, we got you a present!  It's the jellyfish. ",1,SpongeBob SquarePants,114,18
123,Patrick,3," You know, from yesterday!",1,SpongeBob SquarePants,26,4
124,SpongeBob,3," You're not still mad, are you? ",1,SpongeBob SquarePants,32,6
125,Patrick,3," Yup, he's still mad. ",1,SpongeBob SquarePants,22,4
126,Squidward,3, Ow.,1,SpongeBob SquarePants,4,1
133,Squidward,4," Wow. Squidward, this is the best soufflé you have ever created.  Congratulations, chef! ",1,SpongeBob SquarePants,90,13
136,SpongeBob,4,"  Patrick, you're my best friend in the whole neighborhood.",1,SpongeBob SquarePants,59,9
139,SpongeBob,4,"  Of course, Patrick. Anyone with eyes can see that. ",1,SpongeBob SquarePants,53,9
141,SpongeBob,4,"  Patrick, what are you talking about?",1,SpongeBob SquarePants,38,6
145,Patrick,4,"  Well, that makes you a big dummy, you dummy!",1,SpongeBob SquarePants,46,9
146,SpongeBob,4,"  Yeah, well, that means that, uhh... so are you!",1,SpongeBob SquarePants,49,9
147,Patrick,4," Right, you're a turkey!",1,SpongeBob SquarePants,24,4
148,SpongeBob,4, What's that? ,1,SpongeBob SquarePants,14,2
149,Patrick,4, It's what you are!,1,SpongeBob SquarePants,19,4
150,SpongeBob,4," Well, you're a bigger one!",1,SpongeBob SquarePants,27,5
151,Patrick,4," Well, you're still yellow! And you know what else is yellow?",1,SpongeBob SquarePants,61,11
152,SpongeBob,4, What?,1,SpongeBob SquarePants,6,1
153,Patrick,4, You are!,1,SpongeBob SquarePants,9,2
154,SpongeBob,4," Oh, yeah? Well it doesn't matter what you call me, 'cause I never wanna see you again anyway!  Aww, tartar sauce! ",1,SpongeBob SquarePants,115,21
155,Squidward,4,  ,1,SpongeBob SquarePants,2,0
156,Patrick,4," Wow, Squidward, you're choking!  Uhh... uhh, I know what to do, but I should wash my hands first. Oh, well.  I win!",1,SpongeBob SquarePants,116,22
157,Squidward,4," Wow! Patrick, you saved me!",1,SpongeBob SquarePants,28,5
158,Patrick,4, I did?,1,SpongeBob SquarePants,7,2
159,Squidward,4," Yup! You're a real lifesaver, friend! ",1,SpongeBob SquarePants,39,6
160,Patrick,4, Friend?  Friend...,1,SpongeBob SquarePants,19,2
161,Squidward,4,"  Yeah, Patrick, we're friends...  just friends. ",1,SpongeBob SquarePants,49,6
162,Patrick,4," So what are we gonna do tonight, best friend? ",1,SpongeBob SquarePants,47,9
163,Squidward,4," Well, I was going to practice my clarinet solo.",1,SpongeBob SquarePants,48,9
164,Patrick,4, Clarinet? I love music!,1,SpongeBob SquarePants,24,4
165,SpongeBob,4," Ahh, who needs them? They're no fun anyway, right, Gary?  Gary? ",1,SpongeBob SquarePants,65,11
166,Squidward,4, Squidward will be performing his version of Solitude in E minor.,1,SpongeBob SquarePants,65,11
167,Patrick,4,  Yeah! E minor! All right! Yeah! ,1,SpongeBob SquarePants,34,6
168,SpongeBob,4," Ah, what am I worried about? I got plenty of friends! I can name three right off the bat!  Uhh...  The gang's all here...  Ohhh!",1,SpongeBob SquarePants,129,25
169,Squidward,4, Ow! My back! I threw out my back!,1,SpongeBob SquarePants,34,8
170,SpongeBob,4,"  Oh, boy, now's my chance! ",1,SpongeBob SquarePants,28,5
171,Squidward,4," SpongeBob? No, no, stay back!",1,SpongeBob SquarePants,30,5
172,SpongeBob,4,"  Don't worry, Squidward! I'm coming!",1,SpongeBob SquarePants,37,5
173,Squidward,4," No, no, no, get away from me!",1,SpongeBob SquarePants,30,7
174,SpongeBob,4, Hang on! I'll save you! ,1,SpongeBob SquarePants,25,5
175,Squidward,4,"  No, no! Get away from me! No, no!",1,SpongeBob SquarePants,35,8
176,SpongeBob,4,  Hold on!,1,SpongeBob SquarePants,10,2
177,Squidward,4," No, no! Get away!  Oh! I'm ruined! I'm... I'm... I'm... I-I feel great! Thanks, SpongeBob! You're a real friend! ",1,SpongeBob SquarePants,114,19
178,SpongeBob,4, Friend...,1,SpongeBob SquarePants,10,1
179,Squidward,4," N-no, no, no, I didn't mean that, no-no.",1,SpongeBob SquarePants,41,8
180,SpongeBob,4," Don't worry, Squiddy, old-pal. That's what friends are for.  So dumb Patrick fell asleep on ya, huh? Some friend. A real friend would perform for you!",1,SpongeBob SquarePants,151,26
181,Squidward,4, You play?,1,SpongeBob SquarePants,10,2
182,SpongeBob,4," Are you kidding? I've been playing bassinet for years!  Give me an A, buddy!  Squidward is my best friend in the world.  Squidward is my best friend in the sea...",1,SpongeBob SquarePants,163,30
183,SpongeBob,4,  Squidward...,1,SpongeBob SquarePants,14,1
184,Patrick,4,  Likes Patrick more than SpongeBob.  Oh!,1,SpongeBob SquarePants,41,6
185,SpongeBob,4,"  And Patrick is a dirty, stinky, rotten friend stealer!  Umm, I can fix this. ",1,SpongeBob SquarePants,79,14
186,Squidward,4, Grrrrrryehhhhherrrryeh! ,1,SpongeBob SquarePants,25,1
187,SpongeBob,4," ...So, uhh, I'll see you tomorrow, Squidward! Call me!",1,SpongeBob SquarePants,55,9
188,Squidward,4, Yech! That was disgusting! I feel like I need to scrub myself. ,1,SpongeBob SquarePants,64,12
189,Patrick,4," Hey, buddy. I warmed it up for ya. ",1,SpongeBob SquarePants,36,8
190,Squidward,4, Patrick! Get out! And put some clothes on! ,1,SpongeBob SquarePants,44,8
191,SpongeBob,4," What's the matter, Squidward, old buddy?  Oh, ho-ho, so this is what I find, huh? My best friend and my ex-best friend and...  ...rubber bath toys!",1,SpongeBob SquarePants,148,26
192,Patrick,4,"  Oh, yeah?! Well, he was my friend first!",1,SpongeBob SquarePants,42,8
193,SpongeBob,4,"  You're just a backbiting, backstabbing silly blob of...",1,SpongeBob SquarePants,57,8
194,Squidward,4,  This can't be happening to me! ,1,SpongeBob SquarePants,33,6
196,SpongeBob,4, Buddy?!,1,SpongeBob SquarePants,8,1
197,Patrick,4, Squidward?!,1,SpongeBob SquarePants,12,1
198,SpongeBob,4," Where'd ya go, friend?",1,SpongeBob SquarePants,23,4
199,Patrick,4," Where are ya, ol buddy?",1,SpongeBob SquarePants,24,5
200,Squidward,4,"  Oh, this is nuts! I need a plan to get those two back together and out of my hair!",1,SpongeBob SquarePants,84,19
201,SpongeBob,4,  Squidward.  A dinner party? I'd love to!  Did you miss me?,1,SpongeBob SquarePants,60,11
202,Squidward,4, Come on in! You look stunning. ,1,SpongeBob SquarePants,32,6
203,SpongeBob,4," I'd much rather dine with you than that lousy...  Say, what gives? I'm not sitting near that maniac!",1,SpongeBob SquarePants,101,18
204,Patrick,4, Me neither! This was a setup!,1,SpongeBob SquarePants,30,6
205,Squidward,4, I thought you two were my best friends.,1,SpongeBob SquarePants,40,8
207,Squidward,4,"  Well, how about some soda, guys? ",1,SpongeBob SquarePants,35,6
208,SpongeBob,4," Yes, please!  Thanks, friend.  ",1,SpongeBob SquarePants,32,4
209,Patrick,4, How about some for your best friend? ,1,SpongeBob SquarePants,38,7
210,SpongeBob,4," Thanks, best friend! ",1,SpongeBob SquarePants,22,3
211,Patrick,4," Can I have some now, buddy?",1,SpongeBob SquarePants,28,6
212,SpongeBob,4," Wait, I need some more! ",1,SpongeBob SquarePants,25,5
213,Patrick,4, I still didn't get any! ,1,SpongeBob SquarePants,25,5
214,SpongeBob,4, There ya go. More please! ,1,SpongeBob SquarePants,27,5
215,Patrick,4,  Squidward!,1,SpongeBob SquarePants,12,1
216,SpongeBob,4,  Squidward!,1,SpongeBob SquarePants,12,1
217,Patrick,4,"  Hey, Squidward!",1,SpongeBob SquarePants,17,2
218,SpongeBob,4,  Squidward!,1,SpongeBob SquarePants,12,1
219,Patrick,4,  Squidward!  Squidward!,1,SpongeBob SquarePants,24,2
220,Squidward,4, Patrick! Your glass is full!,1,SpongeBob SquarePants,29,5
221,Patrick,4," Oh, yeah...",1,SpongeBob SquarePants,12,2
222,SpongeBob,4,  Squidward!,1,SpongeBob SquarePants,12,1
223,Patrick,4,"  Hey, Squidward!",1,SpongeBob SquarePants,17,2
224,SpongeBob,4,  Squidward!,1,SpongeBob SquarePants,12,1
225,Patrick,4,  Squidward!,1,SpongeBob SquarePants,12,1
226,SpongeBob,4,  Squidward!,1,SpongeBob SquarePants,12,1
227,Patrick,4,"  Hey, Squidward!",1,SpongeBob SquarePants,17,2
228,SpongeBob,4,  Squidward!,1,SpongeBob SquarePants,12,1
229,Patrick,4,"  Hey, Squidward!",1,SpongeBob SquarePants,17,2
230,SpongeBob,4,  Squidward!,1,SpongeBob SquarePants,12,1
231,Patrick,4,  Squidward!,1,SpongeBob SquarePants,12,1
232,SpongeBob,4,  Squidward!,1,SpongeBob SquarePants,12,1
233,Patrick,4,"  Hey, Squidward!",1,SpongeBob SquarePants,17,2
235,Squidward,4," Sorry, boys, I'm all out of pop. I'm gonna go get some more.  Why don't you just stay here and chat?  I should just walk away right now.  What a surprise... I invited them in, and I left them alone. Well, Squidward, what have we learned today? ",1,SpongeBob SquarePants,245,47
236,SpongeBob,4," Guess what, Squidward? ",1,SpongeBob SquarePants,24,3
237,Patrick,4, Me and SpongeBob are friends again!,1,SpongeBob SquarePants,36,6
238,Squidward,4," Great, now go be friends somewhere else.",1,SpongeBob SquarePants,41,7
239,SpongeBob,4, Don't you want us to help you clean this up a little?,1,SpongeBob SquarePants,54,12
240,Squidward,4, NO! Out! ,1,SpongeBob SquarePants,10,2
241,SpongeBob,4," Psst, I think he's jealous.",1,SpongeBob SquarePants,28,5
242,Patrick,4, How pathetic. ,1,SpongeBob SquarePants,15,2
243,Squidward,4," Ohhhhh, my back.",1,SpongeBob SquarePants,17,3
250,Squidward,5,"  Hurry up with those chairs, SpongeBob, it's after closing and I'd like to go home.",1,SpongeBob SquarePants,84,15
251,SpongeBob,5," I got it, I got it! Coming. ",1,SpongeBob SquarePants,29,7
252,Squidward,5," Hello? Sorry, sir, we're close... ",1,SpongeBob SquarePants,35,5
253,Mr. Krabs,5," Ahoy, there, Krusty Krab. How could I help you?  Pizza?  Um... Of course we have pizza.",1,SpongeBob SquarePants,88,16
254,Squidward,5," Uhh, Mr. Krabs...",1,SpongeBob SquarePants,18,3
255,Mr. Krabs,5, Our delivery Squid will bring it right over. ,1,SpongeBob SquarePants,46,8
256,Squidward,5," Mr. Krabs, we don't serve pizza.  We don't deliver.",1,SpongeBob SquarePants,52,9
257,Mr. Krabs,5," We don't deliver,  but you do.",1,SpongeBob SquarePants,31,6
258,Squidward,5, Can't you just get SpongeBob to do it?,1,SpongeBob SquarePants,39,8
259,Mr. Krabs,5, Great idea! Take him with you. ,1,SpongeBob SquarePants,32,6
260,Squidward,5, That's not what I had in mind!,1,SpongeBob SquarePants,31,7
261,SpongeBob,5, Front end... check. Antenna...  check. Bumper... check. Bumper sticker...  ...check.  Tire pressure!  ...check. Vehicle inspection complete! We're really making history here Squidward. That lucky customer is going to get the first Krabby Patty Pizza ever.,1,SpongeBob SquarePants,256,35
262,Squidward,5," Good, then you drive.",1,SpongeBob SquarePants,22,4
263,SpongeBob,5, I can't. I'm still in Boating School.,1,SpongeBob SquarePants,38,7
264,Squidward,5," Come on, SpongeBob. It's just around the corner.",1,SpongeBob SquarePants,49,8
265,SpongeBob,5," Well, yeah, but...",1,SpongeBob SquarePants,19,3
266,Squidward,5, Just do what you do in school.,1,SpongeBob SquarePants,31,7
267,SpongeBob,5," Well, okay. Wait, don't tell me.",1,SpongeBob SquarePants,33,6
268,Squidward,5, Back it up.,1,SpongeBob SquarePants,12,3
269,SpongeBob,5, What?,1,SpongeBob SquarePants,6,1
270,Squidward,5, Back... it up.,1,SpongeBob SquarePants,15,3
271,SpongeBob,5," Right, back... it up. ",1,SpongeBob SquarePants,23,4
272,Squidward,5, Back it up!,1,SpongeBob SquarePants,12,3
273,SpongeBob,5," Okay, okay.",1,SpongeBob SquarePants,12,2
274,Squidward,5," Shift into reverse, SpongeBob!",1,SpongeBob SquarePants,31,4
275,SpongeBob,5," Reverse? Oh, yeah, reverse. ",1,SpongeBob SquarePants,29,4
276,Squidward,5, Back it up!,1,SpongeBob SquarePants,12,3
277,SpongeBob,5,  Backing up! Backing up! ,1,SpongeBob SquarePants,26,4
278,Squidward,5,"  No! SpongeBob! You did it wrong! Gimme the wheel, SpongeBob. Give me the wheel! Give me it!",1,SpongeBob SquarePants,93,17
279,SpongeBob,5, Backing up! Backing up! Ba-a-a-a-a-a-a-a-a-a-a-a-ack-i-i-i-i-i-ng up!  Backing up. Backing up. Backing up. Backing up. ,1,SpongeBob SquarePants,120,14
280,Squidward,5, Well... you backed up. And you know what? I think were out of gas. And you know what else?  We're in the middle of nowhere!,1,SpongeBob SquarePants,124,25
281,SpongeBob,5, And you know what else else? I think the pizza's getting cold.,1,SpongeBob SquarePants,63,12
282,Squidward,5," And the pizza's cold? Oh, the pizza's cold. Not the pizza! Oh, how could it get any worse? ",1,SpongeBob SquarePants,92,18
283,SpongeBob,5," Well, we can still deliver it on foot. ",1,SpongeBob SquarePants,40,8
284,Squidward,5," Ow, ow ow.",1,SpongeBob SquarePants,11,3
285,SpongeBob,5,  The Krusty Krab pizza is the pizza for you and me. The Krusty Krab pizza is the pizza...,1,SpongeBob SquarePants,90,18
286,Squidward,5, ...And my feet are killing me. Whoa.  SpongeBob? What are you doing?,1,SpongeBob SquarePants,69,12
287,SpongeBob,5,  Its an old pioneer trick. I saw it in a movie once.,1,SpongeBob SquarePants,53,12
288,Squidward,5," SpongeBob, this is no time for...",1,SpongeBob SquarePants,34,6
289,SpongeBob,5," Shh, shh, shh. It's working.",1,SpongeBob SquarePants,29,5
290,Squidward,5, What is it?,1,SpongeBob SquarePants,12,3
291,SpongeBob,5,  Truck! 16 wheels. Now I can show you how the pioneers hitchhiked.  Whee... eee... ,1,SpongeBob SquarePants,84,14
293,Squidward,5, He's stopping! He's stopping! ,1,SpongeBob SquarePants,31,4
294,SpongeBob,5,  The Krusty Krab pizza is the pizza for you and me. The Krusty Krab pizza  is the pizza free delivery. The Krusty Krab pizza is the pizza very ta-asty. ,1,SpongeBob SquarePants,153,29
295,Squidward,5," Will you let go of that stupid pizza, already?!",1,SpongeBob SquarePants,48,9
296,SpongeBob,5,"  I can't, it's for the customer!",1,SpongeBob SquarePants,33,6
297,Squidward,5," Well, who cares about the customer?!",1,SpongeBob SquarePants,37,6
298,SpongeBob,5, I do!,1,SpongeBob SquarePants,6,2
299,Squidward,5," Well, I don't!",1,SpongeBob SquarePants,15,3
300,SpongeBob,5,  Squidward! ,1,SpongeBob SquarePants,13,1
301,Squidward,5, Let go of that pizza!,1,SpongeBob SquarePants,22,5
302,SpongeBob,5, No! ,1,SpongeBob SquarePants,5,1
303,Squidward,5," Ow.  SpongeBob, let go of that pizza!",1,SpongeBob SquarePants,38,7
304,SpongeBob,5, No! It's for the customer!,1,SpongeBob SquarePants,27,5
305,Squidward,5, SpongeBob! Let go of the pizza! ,1,SpongeBob SquarePants,33,6
306,SpongeBob,5, No!,1,SpongeBob SquarePants,4,1
307,Squidward,5," SpongeBob!  Hang onto the pizza!  Hey! Hey!  Where's the road? Where's the road?  We're doomed! How are we gonna get home, which way do we go?  What are we gonna do now! There's no road here!",1,SpongeBob SquarePants,192,36
308,SpongeBob,5, I think town's this way. ,1,SpongeBob SquarePants,26,5
309,Squidward,5," Oh, don't tell me, Jethro. The pioneers?",1,SpongeBob SquarePants,41,7
310,SpongeBob,5, That's right.  Moss always points to civilization.,1,SpongeBob SquarePants,51,7
311,Squidward,5," That way? That way there?  So, let me get this straight... you think that we should go that way?",1,SpongeBob SquarePants,97,19
312,SpongeBob,5,  Yep.,1,SpongeBob SquarePants,6,1
313,Squidward,5," Well, then I'm going this way. ",1,SpongeBob SquarePants,32,6
314,SpongeBob,5," Huh? Squid, wait! I don't think...",1,SpongeBob SquarePants,35,6
315,Squidward,5," Trust me, I know where I'm going. ",1,SpongeBob SquarePants,35,7
316,SpongeBob,5,"  The Krusty Krab pizza absolutivally.  pizza...  pizza...  Krusty Krab pizza is the pizza, yeah, for you and  me!  Krab Pizza... for you. Krus... the Krusshy and the... Krab and the... pizza inside. ",1,SpongeBob SquarePants,200,32
317,Squidward,5," Sponge, we gotta eat something.",1,SpongeBob SquarePants,32,5
318,SpongeBob,5," I heard in times of hardship, the pioneers would eat coral.  No, maybe it wasn't coral.  Maybe it was sand, no, no, mud.",1,SpongeBob SquarePants,121,23
319,Squidward,5, Give me the pizza!,1,SpongeBob SquarePants,19,4
320,SpongeBob,5," Wait, I remember now. It was coral!",1,SpongeBob SquarePants,36,7
321,Squidward,5, Give it to me!,1,SpongeBob SquarePants,15,4
322,SpongeBob,5," No, we promised it's for the customer.",1,SpongeBob SquarePants,39,7
323,Squidward,5,  You're right. It's for the customer.,1,SpongeBob SquarePants,38,6
324,SpongeBob,5, Yeah!,1,SpongeBob SquarePants,6,1
325,Squidward,5," Maybe we better check on it, make sure it's okay.",1,SpongeBob SquarePants,50,10
326,SpongeBob,5, Well?,1,SpongeBob SquarePants,6,1
327,Squidward,5, Just a peek. ,1,SpongeBob SquarePants,14,3
328,SpongeBob,5,"  Okay, it's fine.",1,SpongeBob SquarePants,18,3
329,Squidward,5," No, I think I saw something.  Oh, no. I was wrong. It looks okay. Sure is a fine looking pizza.",1,SpongeBob SquarePants,96,20
330,SpongeBob,5, Yeah.,1,SpongeBob SquarePants,6,1
331,Squidward,5, What's that? Is that the cheese?,1,SpongeBob SquarePants,33,6
332,SpongeBob,5, Yeah!,1,SpongeBob SquarePants,6,1
333,Squidward,5, And the pepperoni?,1,SpongeBob SquarePants,19,3
334,SpongeBob,5, Yeah!,1,SpongeBob SquarePants,6,1
335,Squidward,5,"  Oh, looks good, huh?",1,SpongeBob SquarePants,22,4
336,SpongeBob,5," Wait a second, I know what you're trying to do, Squidward.  I'm not letting you eat the pizza!",1,SpongeBob SquarePants,95,18
337,Squidward,5, Give me the pizza!,1,SpongeBob SquarePants,19,4
338,SpongeBob,5, No!,1,SpongeBob SquarePants,4,1
339,Squidward,5," Don't make me take it away from you, SpongeBob!",1,SpongeBob SquarePants,48,9
