index,episode,season,line
54,1,2,
55,1,2,"Rick:ÊYeah it would literally destroy them. Now listen, why doÑwhy doÑwhyÑwhy don't you guys go get a free sunday ice cream, (Rick puts a rubber band around a rolled up wad of cash) go out there and get some ice creams. Here's five hundred dollars cash in unmarked moneys. I'm just gonna put it on the floor and uh, kick it on over to ya. You guys go nuts."
56,1,2,
57,1,2,"Jerry:ÊThis better not be a bribe. If I find a single thing out of place in this house, my love of ice cream won't save you. I'll get my jacket."
58,1,2,
59,1,2,"Beth:ÊSweety, is your shirt on backwards?"
60,1,2,
61,1,2,<Simultaneously---
62,1,2,
63,1,2,Summer:Ê*Gasp*
64,1,2,
65,1,2,Morty:ÊOh!
66,1,2,
67,1,2,Rick:ÊUh oh.
68,1,2,
69,1,2,-------------->
70,1,2,
71,1,2,"Jerry:ÊYeah, I like it this way. I'm not stupid."
72,1,2,
73,1,2,<Simultaneously---
74,1,2,
75,1,2,Morty:ÊPhew...
76,1,2,
77,1,2,Summer: *Exhales*
78,1,2,
79,1,2,-------------->
80,1,2,
81,1,2,Jerry:ÊMan that guy is the Red Grin Grumble to pretending he knows what's going on.
82,1,2,
83,1,2,(Morty and Summer laugh)
84,1,2,
85,1,2,"Rick:ÊOh you agree, huh? (Summer:ÊFunny) You like that Red Grin Grumble reference? (Summer:ÊYeah.) Well guess what? I made him up. You really are your father's children. Think for yourselves, don't be sheep."
86,1,2,
87,1,2,[Intro sequence]
88,1,2,
89,1,2,[Trans. Outside Morty's house]
90,1,2,
91,1,2,(Mr. Benson is being loaded into an ambulance.)
92,1,2,
93,1,2,[Trans. Inside Morty's house]
94,1,2,
95,1,2,"Summer:ÊGod, I feel terrible."
96,1,2,
97,1,2,"Rick:ÊYup, it really makes you appreciate how fickle the universe can be. (Rick opens refrigerator)Ê[Trans. Inside refrigerator]ÊOne minute you're falling off a roof for six months, the next minute, bam!"
98,1,2,
99,1,2,[Trans. Inside Morty's house]
100,1,2,
101,1,2,"Morty:ÊUh, just to be clear, it was Summer's job to put the mattress under-"
102,1,2,
103,1,2,"Summer:Ê(interrupting) Uh, what? It was your job, Morty. (Summer pokes Morty.)"
104,1,2,
105,1,2,Morty:ÊNuh uh!
106,1,2,
107,1,2,Summer:ÊYeah huh!
108,1,2,
109,1,2,"Rick:ÊActually, sorry Summer, I gotta back the M bomb on this one. I remember the conversation. We told Morty to replace all the bank's money with cookies, your job was to put the mattress under Mr. Benson."
110,1,2,
111,1,2,"Morty:ÊBoom! In your face Summer! You really dropped the ball, man."
112,1,2,
113,1,2,"Summer:ÊShut up Morty, you vindictive little turd!"
114,1,2,
115,1,2,Morty:ÊYou shut up you big... female asshole!
116,1,2,
117,1,2,(Alternate selves first appear)
118,1,2,
119,1,2,"Alternate Morty:ÊHey, don't shove me!"
120,1,2,
121,1,2,Summer:ÊI didn't!
122,1,2,
123,1,2,Morty:ÊYou didn't what?
124,1,2,
125,1,2,Alternate Summer:ÊWhat's your problem?
126,1,2,
127,1,2,Morty:ÊWhat's yours?
128,1,2,
129,1,2,Alternate Summer:ÊShut up!
130,1,2,
131,1,2,Morty:ÊYou shut up!
132,1,2,
133,1,2,Rick:ÊWhoa whoa wh-what the hell hell hell hell hell?
134,1,2,
135,1,2,"(Time splits into two - alternate timelines will be ordered from top to bottom, left to right.)"
136,1,2,
137,1,2,"All Ricks:ÊOh god, oh no, what did you guys just do?"
138,1,2,
139,1,2,Summer 1:ÊWhat do you mean?
140,1,2,
141,1,2,Summer 2:ÊWhat couldÊweÊdo?
142,1,2,
143,1,2,"All Summers:ÊWait, what am I saying?"
144,1,2,
145,1,2,Rick:Ê*belch* Were either of you guys uncertain about anything just now?
146,1,2,
147,1,2,All Mortys:ÊOh man... I don't feel good.
148,1,2,
149,1,2,Morty 1:ÊAm I me? I think so.
150,1,2,
151,1,2,Morty 2:ÊA-am I talking right now?
152,1,2,
153,1,2,"All Mortys:ÊWait, who said that?"
154,1,2,
155,1,2,"All Ricks:ÊAlright both of you, just don't move, don't speak, don't think. I have to check something."
156,1,2,
157,1,2,Summer 1:ÊWhat should we do Morty?
158,1,2,
159,1,2,Summer 2:ÊI'm gonna help Grampa.
160,1,2,
161,1,2,Morty 1:ÊLet's see if he needs help.
162,1,2,
163,1,2,Morty 2:ÊWhat do you meanÊyou'reÊgonna help him.
164,1,2,
165,1,2,"Summer 1:ÊUgh, I can help too."
166,1,2,
167,1,2,[Trans. Inside Rick's garage]
168,1,2,
169,1,2,All Mortys:ÊWhat's going on Rick?
170,1,2,
171,1,2,All Summers:ÊWhat's happening Grampa?
172,1,2,
173,1,2,All Ricks:ÊShut up! (Rick turns on a monitor) Oh crap are you kidding me? Two dots? This never needs to be more than one dot. The two of you made us uncertain!
174,1,2,
175,1,2,Morty 1:ÊWhat do you mean?
176,1,2,
177,1,2,Morty 2:ÊWhat? In English?
178,1,2,
179,1,2,Summer 1:ÊWhat? English please?
180,1,2,
181,1,2,Summer 2:ÊWhat are you talking about?
182,1,2,
183,1,2,All Ricks:ÊOur time is fractured. You two somehow created a feedback loop of uncertainty that's split our reality into two equally possible impossiblities. W-we're exactly like a man capable of sustaining a platonic friendship with an attractive female co-worker. We're entirely hypothetical.
184,1,2,
185,1,2,All Mortys:ÊBut I thought there were infinite timelines.
186,1,2,
187,1,2,"All Ricks:ÊWe're not on any timeline, dummy. Look."
188,1,2,
189,1,2,"(Rick opens the garage door, revealing floating cats, trees and islands.)"
190,1,2,
191,1,2,All Mortys:ÊOh my god!
192,1,2,
193,1,2,All Summers:ÊAre those cats?
194,1,2,
195,1,2,"All Ricks:ÊI assume they're Schrodinger's cats. A-actually, I assume they both are and aren't, just like us."
196,1,2,
197,1,2,Summer 1 & Morty 2:ÊIs the world gone? Where are Mom and Dad?
198,1,2,
199,1,2,All Ricks:ÊÒMom and Dad?Ó Get your head out of your family's ass. The three of us are lost in a timeless oblivion. Your parents get to exist. They're probably living it up in some pointless grounded story about their sh*t marriage.
200,1,2,
201,1,2,[Trans. Inside Jerry's car]
202,1,2,
203,1,2,Jerry:ÊCold Stone Creamery is the best. What should we do with ourÊremainingÊtwenty dollars?
204,1,2,
205,1,2,Beth:ÊYou realize they sing no matter how much you tip.
206,1,2,
207,1,2,(Jerrry hits a deer.)
208,1,2,
209,1,2,Beth:ÊHoly sh*t! What happened?
210,1,2,
211,1,2,Jerry:ÊI hit a deer! W-we have to tell the cops you were driving.
212,1,2,
213,1,2,Beth:ÊW-what?
214,1,2,
215,1,2,Jerry:ÊThis is Rum Raisin!
216,1,2,
217,1,2,"(Beth hands Jerry her ice cream, gets out of the car and goes over to the deer.)"
218,1,2,
219,1,2,Beth:ÊIt's still alive.
220,1,2,
221,1,2,"Jerry:ÊWell, do we- doÊIÊuh, get a big rock? Or-"
222,1,2,
223,1,2,"Beth:ÊIt's not an armadillo, asshole!"
224,1,2,
225,1,2,"Jerry:ÊI thought that's what a man's supposed to say, it's not like I could have actually done it."
226,1,2,
227,1,2,"Beth:ÊIf we were near a hospital, I could treat it, but I-I think we have to just-"
228,1,2,
229,1,2,"Jerry:ÊIt's okay, this is just something that happens. And even if we were in a hospital, what could we do, you're a horse surgeon, not a deer surgeon."
230,1,2,
231,1,2,Beth:ÊSo...
232,1,2,
233,1,2,Jerry:ÊWell don't different animals-
234,1,2,
235,1,2,Beth:ÊRequire different levels of skill to keep alive?
236,1,2,
237,1,2,Jerry:ÊOh god...
238,1,2,
239,1,2,"Beth:ÊGet the deer in the car, Jerry."
240,1,2,
241,1,2,Jerry:ÊYes Beth.
242,1,2,
243,1,2,[Trans. Inside Rick's garage]
244,1,2,
245,1,2,"All Ricks:ÊThis is why you don't freeze time, you guys. It's incredibly irresponsible."
246,1,2,
247,1,2,Morty 1:ÊAnd you did it so you could clean the house after a party.
248,1,2,
249,1,2,Morty 2:ÊAnd you did it so you could clean the house after a party?
250,1,2,
251,1,2,"All Ricks:ÊLook, there's no time to hold me accountable, Morty. Like literally no time. Look around. Uncertainty is inherently unsustainable. Eventually everything either is or isn't. And we've got about four hours to be ÒisÓ."
252,1,2,
253,1,2,Morty 1:ÊOr...
254,1,2,
255,1,2,Morty 2:ÊOr?
256,1,2,
257,1,2,All Ricks:ÊWe Òisn'tÓ
258,1,2,
259,1,2,"All Ricks:ÊAlright, since this time crystal exists in both possibilities, and since it's impossible that I didn't nail this, I'm probably about to press this button in both possibilities at exactly the same time."
260,1,2,
261,1,2,Morty 1 & Summer 2:ÊHow do you know you're gonna-
262,1,2,
263,1,2,"All Ricks:ÊWhatever you're asking, the answer is I'm amazing. And away we go!"
264,1,2,
265,1,2,"(Rick presses a button, the timelines almost merge)"
266,1,2,
267,1,2,"Rick:ÊHuh, what do you know, it's working"
268,1,2,
269,1,2,"Summer 1:ÊOw, ow ouch!"
270,1,2,
271,1,2,"Morty 2:ÊWhoa, ow, ow."
272,1,2,
273,1,2,Rick:ÊOh sh*t.
274,1,2,
275,1,2,(Realities separate again)
276,1,2,
277,1,2,All Ricks:ÊWhat the hell is wrong with you two!? IÑI mÑI mÑI mean you four!?
278,1,2,
279,1,2,All Mortys and Summer 2:ÊThat hurt! That was painful...
280,1,2,
281,1,2,"All Ricks:ÊGood I'm glad it was painful. You do deserve it! I saw you, you're both *belch* all over the damn place. We've been split for twenty minutes and your lives are already scattered to the quantum f***ing wind? What the hell do either of you have to be so uncertain about? Your brand of zit cream? Which chair to sit in while I do everything? Come on, spit it out!"
282,1,2,
283,1,2,"All Mortys:ÊWell you don't exactly make it easy, Rick!"
284,1,2,
285,1,2,Morty 1:ÊYou make fun of me all the time and now Summer's doing it too!
286,1,2,
287,1,2,Morty 2:ÊYou're always picking on me and now you got someone to kiss your ass!
288,1,2,
289,1,2,Summer 1:ÊMe? What about you? Would you get more excited to see me fail? You want Grampa all to yourself!
290,1,2,
291,1,2,"Summer 2:ÊMe? You're just as mean to me because you're jealous, because you want Grampa all to yourself!"
292,1,2,
293,1,2,"All Ricks:ÊAlright, cool it, I see what's happening here. You're both young, you're both unsure about your place in the universe, you both wanna be ÒGrampa's favorite.Ó I can fix this. Morty sit here, Summer, you sit here. Now listen, I know the two of you are very different from each other in a lot of ways, but you have to understand that as far as Grampa's concerned, you're both pieces of shit. Yeah, I can prove it mathematically. Actually, let me grab my whiteboard. This has been a long time coming anyway."
294,1,2,
295,1,2,[Trans. Outside animal hospital.]
296,1,2,
297,1,2,[Trans. Inside animal hospital.]
298,1,2,
299,1,2,"Beth:ÊEmergency, wounded deer coming in."
300,1,2,
301,1,2,[Trans. Inside animal hospital operating room.]
302,1,2,
303,1,2,(Vet is taking a snake's pulse.)
304,1,2,
305,1,2,"Vet:ÊThree. Excuse me, you can't be back here."
306,1,2,
307,1,2,"Beth:ÊI'm a certified horse surgeon, and this deer needs medical attention. Nurse, please move that snake."
308,1,2,
309,1,2,"Vet:ÊThat's my nurse, and as a horse surgeon, I'm sure that you know that deer have much smaller, much more intricate organs-"
310,1,2,
311,1,2,"Beth:ÊAs a vet, I'm sure you know a deer is closer to a horse than you are to a doctor, so let's save the measuring for when our dicks are out, it's time to save a life!"
312,1,2,
313,1,2,Vet:ÊGeez...
314,1,2,
315,1,2,(Vet removes Snake from operating table. Beth and Jerry place deer on operating table.)
316,1,2,
317,1,2,"Beth:ÊThat's odd, this deer's wounded."
318,1,2,
319,1,2,"Jerry:ÊUh, yeah, I was there, you don't have to rub it in."
320,1,2,
321,1,2,Beth:ÊI mean it's been shot. With a gun.
322,1,2,
323,1,2,Hunter:ÊMy gun.
324,1,2,
325,1,2,"Vet:ÊMay I help you, sir?"
326,1,2,
327,1,2,"Hunter:ÊNo, but you can stop helping this deer. I shot it before these two hit it with their car and I followed them when they hauled it off. This deer belongs to me."
328,1,2,
329,1,2,"Beth:Ê*sigh* We don't have time for this, okay! I need anesthetic, and deer saline!"
330,1,2,
331,1,2,"Vet:ÊLook, I don't know what the law says about this, but I took an oath that I would let no animal come to harm. Except when sterilizing, aborting or euthenizing them and also when eating them at almost any meal."
332,1,2,
333,1,2,Hunter:ÊI'm calling my lawyer. I hope for all our sakes you're as bad a surgeon as I am a hunter.
334,1,2,
335,1,2,"Beth:ÊIn your dreams, bitch! Scalpel!"
336,1,2,
337,1,2,[Trans. Inside Rick's garage.]
338,1,2,
339,1,2,"All Ricks:ÊSo in conclusion, you're both equally mercurial, overly sensitive, clingy hysterical bird brained homunculi. And I honestly can't tell the two of you half the time because I don't go by height or age, I go by amount of pain in my ass, which makes you both identical. Alright, everything resolved? Everybody nice and certain about their position inÊmyÊworld?"
340,1,2,
341,1,2,All Mortys and All Summers:ÊYes.
342,1,2,
343,1,2,"All Ricks:ÊAlright, perfect. Sit still, *belch* arms down, I'm gonna do this again, this time, be like Grampa."
344,1,2,
345,1,2,Morty 2:ÊYou mean drunk?
346,1,2,
347,1,2,Rick 1:ÊAnd away we go!
348,1,2,
349,1,2,Rick 2:ÊWhat's that? You got something to say?
350,1,2,
351,1,2,Morty 2:ÊNo.
352,1,2,
353,1,2,Rick 2:ÊAnd away we go!
354,1,2,
355,1,2,"All Ricks:ÊHuh, that's weird. Oh my god."
356,1,2,
357,1,2,All Summers:ÊWhat?
358,1,2,
359,1,2,All Ricks:ÊThat son of a bitch is gonna kill me!
360,1,2,
361,1,2,"Rick 2:ÊFollicle unfeeling sociopath. Don't you get it? He thinks he can save his own skin by using the crystal to kill me. He probably figures it's easier to eliminate one of the possibilities rather than merge them. I have to admit, it's always in the back of my mind too. The difference is I would never do it! Until now..."
362,1,2,
363,1,2,"Rick 1:ÊDon't you get it? don't you get it? The other Rick isn't trying to merge us anymore. He thinks he can save his own skin by using the crystal to kill me. He probably figures it's easier to eliminate one of the possibilities rather than merge them. I have to admit, it's always in the back of my mind too. The difference is I would never do it! Until now..."
364,1,2,
365,1,2,All Mortys:ÊRick what the hell are you doing?
366,1,2,
367,1,2,All Ricks:ÊSaving our lives. After he takes me out he's gonna be coming for you!
368,1,2,
369,1,2,All Summers:ÊWho?
370,1,2,
371,1,2,All Ricks:ÊMe!
372,1,2,
373,1,2,Rick 2:ÊYou see that? Get down.
374,1,2,
375,1,2,All Summers:ÊAhh!
376,1,2,
377,1,2,All Mortys:ÊWhoa whoa!
378,1,2,
379,1,2,Rick 1:ÊI told you he's a psycho!
380,1,2,
381,1,2,Rick 2:ÊHe's lost it. The time fracture must have made him crazy!
382,1,2,
383,1,2,Rick 1:ÊI don't know what to do! I don't know what to do!
384,1,2,
385,1,2,Summer 2 or 4 after splitting into 4 (not shown):ÊOh crap!
386,1,2,
387,1,2,(Reality splits into 4 parts)
388,1,2,
389,1,2,"All Ricks:ÊOh god, now there's three of them, we're outnumbered! Get in the cupboards! Wait, don't don't do that, they'll know... wait wait, think about getting in the cupboards but don't really. AAAAH IS THIS WHAT YOU WANT YOU SICK F***S? YOU WANNA SEE CHILDREN DIE?"
390,1,2,
391,1,2,[Trans. Inside animal hospital operating room.]
392,1,2,
393,1,2,"Beth:ÊYou son of a bitch, you don't stop living until I SAY SO!"
394,1,2,
395,1,2,Lawyer:ÊMichael.
396,1,2,
397,1,2,Vet:ÊWho's this now?
398,1,2,
399,1,2,Hunter:ÊMy lawyer.
400,1,2,
401,1,2,"Lawyer:ÊI'm here to notify you ma'am, that in this county, any deer shot by a hunter is that hunter's property, regardless of how far it runs, or who intercepts it before it dies. It's called Brad's law. We can't make you stop the surgery, but at this point you're performing it on venison."
402,1,2,
403,1,2,"Hunter:ÊActually, I've decided not to eat it. All this fear and conflict. I'm sure it's ruined the meat. I'm just gonna use the head for my rec room wall."
404,1,2,
405,1,2,Jerry:ÊShe normally works on horses.
406,1,2,
407,1,2,"Beth:ÊJerry, if you're not gonna help, get the f*** out of here! I will reach into heaven and yank your screaming deer soul back!"
408,1,2,
409,1,2,Vet:ÊJesus...
410,1,2,
411,1,2,[Trans. Inside Rick's garage.]
412,1,2,
413,1,2,"All Ricks:ÊShh shh... I know where you are, you creepy old monster... I know how you think! Oh, is this where you think I'm going? You think I'm standing here? Well maybe you're right!"
414,1,2,
415,1,2,(Morty knocks Rick out with a fire extinguisher)
416,1,2,
417,1,2,"All Summers:ÊHoly sh*t, now what?"
418,1,2,
419,1,2,"All Mortys:ÊWell if all of me knocked out all the Ricks, and you peed in all of your pants, doesn't that mean that we're all synchronized?"
420,1,2,
421,1,2,All Summers:ÊRight.
422,1,2,
423,1,2,"All Mortys:ÊOkay... so from now on, whatever we do we have to be certain."
424,1,2,
425,1,2,All Summers:ÊRight...
426,1,2,
427,1,2,All Mortys:ÊI think I'm certain we're F'd in the A.
428,1,2,
429,1,2,[Cut to black]
430,1,2,
431,1,2,[Trans. Outside the house in Schrodinger cat space]
432,1,2,
433,1,2,"All Ricks:ÊOh god, my head. What did you guys do?"
434,1,2,
435,1,2,"All Mortys:ÊWe put you in a dog crate because you were acting crazy, and you caused another time fracture."
436,1,2,
437,1,2,All Summers:ÊYou tried to kill yourself!
438,1,2,
439,1,2,"All Ricks:ÊOnly in self defense, myself tried to kill me first! Guys, I don't expect you to understand this, but time breaking twice means our problem is two times bigger and we've got half as much time to solve it. Well actually, I do expect you to understand that, it's basic math. C-could someone just let me out of here? If I die in a cage I lose a bet."
440,1,2,
441,1,2,All Summers:ÊWell is there some way you can prove you're not a threat to yourself and others anymore?
442,1,2,
443,1,2,"All Ricks:ÊAh, for god's sake, alright here, give me the time crystal."
444,1,2,
445,1,2,All Mortys:ÊW-what're you doing?
446,1,2,
447,1,2,"All Ricks:ÊCalling myself. Here, listen, *belch* it'll probably go to voice mail since, you know, I'm calling myself."
448,1,2,
449,1,2,"All Rick phones:ÊHello, Rick here."
450,1,2,
451,1,2,"All Ricks:ÊDon't fall for it, it's a bit."
452,1,2,
453,1,2,"All Rick phones:ÊJust kidding, haha! You just got Ricked. You've reached Rick's voicemail, you know what to do *beep*."
454,1,2,
455,1,2,"All Ricks:ÊHey Rick, it's Rick. Listen, I'm sorry about earlier. No hard feelings. I know you know I mean it too. Take it easy. Whoa. Damn, look at this, I'm blown up. Three new voicemails. *voicemail repeats* Yeah yeah, I heard this one. *voicemail repeats two more times* You get the idea *belch* we're cool now."
456,1,2,
457,1,2,"All Summers:ÊOkay, well we're still not gonna let you out of this crate."
458,1,2,
459,1,2,All Ricks:ÊFine I'll just do it myself.
460,1,2,
461,1,2,All Mortys:ÊIf you could get out that whole time why didn't you?
462,1,2,
463,1,2,"All Ricks:ÊBecause I waited until I was certain it was what I wanted to do, Morty. That's the difference between you and me. I'm certain, and you're a walking burlap sack filled with turds."
464,1,2,
465,1,2,"All Mortys:ÊYou know, geez Rick, yÑyÑyou're really tearing into me right now. You know, words hurt."
466,1,2,
467,1,2,(Testicle Monster A floats into view in a bubble.)
468,1,2,
469,1,2,Morty 1:ÊOh my god!
470,1,2,
471,1,2,Morty 2:ÊIt's a monster!
472,1,2,
473,1,2,Morty 3:ÊOh my god! It's a monster!
474,1,2,
475,1,2,Summer 1:ÊIt's a monster!
476,1,2,
477,1,2,Summer 4:ÊIt's a monster!
478,1,2,
479,1,2,"Testicle Monster A:ÊEy, ye ey, quit yellin' quit yellin'."
480,1,2,
481,1,2,Summer 1: *Screams*
482,1,2,
483,1,2,Summer 4:ÊOh my god...
484,1,2,
485,1,2,"Morty 2, 3 and 4: *Screams*"
486,1,2,
487,1,2,"Testicle Monster A:ÊWhat the f***? Your time is all ripped up to hell! You broke your time, twice!"
488,1,2,
489,1,2,All Ricks:Ê*sigh*
490,1,2,
491,1,2,Testicle Monster A:ÊHow did this happen?
492,1,2,
493,1,2,"Summers 2 & 3:ÊYeah, but we don't even know, the first time..."
494,1,2,
495,1,2,Morty 1 & 4:ÊWho's that Brother Newman time elf?
496,1,2,
497,1,2,"Testicle Monster A:ÊShut the f*** up! Oh, damn, I'm from the 4thÊdimension. I can hear all o' y'all. Now let's just see what we got here for a second."
498,1,2,
499,1,2,All Ricks:Ê*groan*
500,1,2,
501,1,2,"Testicle Monster A:ÊAy, damn it, were you tryin' to use this to- oh, see, you broke time, and you thought you could just stick it back together with this? How you think you gonna move time while you're standin in it you dumn ass three-dimensional monkey ass dummies?"
502,1,2,
503,1,2,"All Mortys:ÊOh way to go, Rick."
504,1,2,
505,1,2,"All Summers:ÊYeah Grampa, way to go."
506,1,2,
507,1,2,"All Ricks:ÊOh, what you're just gonna listen to this guy now? He's got a giant testicle for a head! He came here in a bubble. For all we know he could be the David Berkowitz of Nutsack Land."
508,1,2,
509,1,2,"Testicle Monster A:ÊShut up. Here, put these on. They'll sync your possibilities up so I can bring you back to certain time. Y'all just-just negligent, now ay, ay, ay, the three of you, put your collars on!"
510,1,2,
511,1,2,"Summer 1, 2 and 3:ÊWhat are you talking about?"
512,1,2,
513,1,2,"Morty 1, 2 and 3:ÊWe have them on."
514,1,2,
515,1,2,"Rick 1, 2 and 3:ÊUh, we did..."
516,1,2,
517,1,2,Rick 4:ÊWe're not wearing collars.
518,1,2,
519,1,2,"Testicle Monster A:ÊExactly, because you're being obstinate."
520,1,2,
521,1,2,"Rick 1, 2 and 3:Ê*belch* What?"
522,1,2,
523,1,2,"Morty 1, 2 and 3:ÊWe did!"
524,1,2,
525,1,2,"Summer 1, 2 and 3:ÊThey're on right now."
526,1,2,
527,1,2,"Rick 4:ÊAlright, fine. Summer, Morty, put 'em on."
528,1,2,
529,1,2,(Alternate timelines merge into one)
530,1,2,
531,1,2,"Rick:ÊYes, we're back, problem solved."
532,1,2,
533,1,2,"Summer:ÊYes, we're back to our own time."
534,1,2,
535,1,2,"Morty:ÊYes no more cats, no more cats, oh you did it, you fixed it."
536,1,2,
537,1,2,"Testicle Monster A:ÊYeah, now keep those collars on so you don't break your weak ass time again."
538,1,2,
539,1,2,Rick:ÊHow long exactly do we have to wear these things? They're really embarassing.
540,1,2,
541,1,2,"Testicle Monster A:ÊWell since you're goin' to time prison, I'd say you can keep em on forever."
542,1,2,
543,1,2,Summer:ÊTime prison?
544,1,2,
545,1,2,"Testicle Monster A:ÊYeah, well I don't know where you expect me to think you got that crystal over there, but the only way you dumb ass, assin' ass asses could ever have one, is if it was stolen."
546,1,2,
547,1,2,Summer:ÊYou stole a time freezing crystal from testical monsters?
548,1,2,
549,1,2,"Rick:ÊI would have been happy to pay for it, Summer, but they don't exactly sell them at Costco.ÊBesides, there's a larger lesson to be learned here. Get him!"
550,1,2,
551,1,2,Testicle Monster A:ÊUtutututut! You'd better keep back! Man this will turn your ass into a third trimester fetus from 30 yards.
552,1,2,
553,1,2,[Trans. Inside animal hospital operating room.]
554,1,2,
555,1,2,Vet:ÊHmm...
556,1,2,
557,1,2,Beth:ÊIsn't there a kitten somewhere that needs a manicure?
558,1,2,
559,1,2,"Lawyer:ÊThat's right Mrs. Smith, give in to your anger. Neglect that deer."
560,1,2,
561,1,2,"Jerry:ÊHoney, it's gonna be okay. These men are from the Cervine Institute of Elk, Moose Deer and Stag. They can take this deer to a helicopter and fly it to the country's top deer surgeon on a wildlife reserve across the state border, where your jurisdiction ends."
562,1,2,
563,1,2,Vet:ÊI guess that's the end of that.
564,1,2,
565,1,2,"Lawyer:ÊThere is just one more thing. According to this state's veterinarian statute, this animal can't be transferred until the current attending physician verbally confirms their inability to provide adequate care. You heard the man horse doctor, you have to say you couldn't hack it."
566,1,2,
567,1,2,Jerry:ÊWe did it...
568,1,2,
569,1,2,[Trans. Inside Rick's garage.]
570,1,2,
571,1,2,"Testicle Monster A:Ê(On phone) Uh-huh, no motha- no, Earth, dude, I'm talking 'bout, yeah, with the dinosaurs. No, if you've get to the dolphin people you've gone too far. Alright man, I'll talk to you later, okay. (hangs up) You know what they do with 3rdÊdimensional life forms in time prison? Same thing they do in every other prison, only forever."
572,1,2,
573,1,2,Morty:ÊWhy are you doing this?
574,1,2,
575,1,2,"Testicle Monster A:ÊYou think I wanna be an omniscient immortal being transcending time and space my whole life? I got ambitions man, bringin' you guys in is my ticket up."
576,1,2,
577,1,2,Rick:ÊWhat if I told you there's a huge ticket up right behind you?
578,1,2,
579,1,2,Testicle Monster A:ÊYou really think I'm that stupid?
580,1,2,
581,1,2,"Rick:ÊAlright, hear me out on this. You're immortal, right, which means your life is infinite. Well in that case there's 100% chance that you'll eventually do everything,ÊincludingÊturning around to look behind you."
582,1,2,
583,1,2,Testicle Monster A:ÊI cannot argue that.
584,1,2,
585,1,2,(Rick hits the creature with a wrench and grabs the organic gun he was holding)
586,1,2,
587,1,2,"Rick:ÊAh, god, gross and weird!"
588,1,2,
589,1,2,(Rick drops the gun and it crawls toward the street)
590,1,2,
591,1,2,Testicle Monster A:ÊChris!
592,1,2,
593,1,2,(The gun is squished by a car)
594,1,2,
595,1,2,Testicle Monster A:ÊYou killed my gun!
596,1,2,
597,1,2,"Rick:ÊSummer, Morty, take off your collars!"
598,1,2,
599,1,2,Testicle Monster A:ÊWhat? What the hell are you doing?
600,1,2,
601,1,2,Rick:ÊGood question. I suppose the answer is: I'm not certain!
602,1,2,
603,1,2,"Testicle Monster A:ÊOh, no, what are you doin'?"
604,1,2,
605,1,2,(Time splits into 2 timelines)
606,1,2,
607,1,2,Rick 1:ÊI have no idea!
608,1,2,
609,1,2,Rick 2:ÊI'm not sure.
610,1,2,
611,1,2,(Time splits into 4 timelines)
612,1,2,
613,1,2,"All Ricks (off sync):ÊMaybe I will, maybe I won't."
614,1,2,
615,1,2,(Time Splits into 8 timelines)
616,1,2,
