,character,episode,line,season
53,Patrick,2," Squid is number one!
",1
54,Squidward,2," I really did it, didn't I? Hey, you guys didn't blow anything like that! 
",1
55,SpongeBob,2," No.
",1
56,Squidward,2," Now that's a bubble!
",1
57,SpongeBob,2," You said it, Squidward. See, it is all in the technique!
",1
58,Patrick,2," Yeah, technique.
",1
59,Squidward,2," Technique? Hah! SpongeBob, you don't think I created that [kisses his tentacle] beautiful work of art with your help? [he starts laughing] Come on, it's in my genes.
",1
60,SpongeBob and Patrick,2," Squid's got genes! Squid's got genes! [Squidward walks back to his house]
",1
61,Squidward,2," Thank you, thank you, thank you. [he starts to play his clarinet. SpongeBob and Patrick chant Squidward's name. At one point, they belly flop each other and Patrick falls on the ground.] I rock. [Squidward continues to play his clarinet. As SpongeBob and Patrick continue to chant, Squidward's bubble flies over them, covers the house, and pulls it out of the ground and up towards the top of the ocean. SpongeBob notices and stops Patrick]
",1
62,SpongeBob,2," [concerned] Squidward! [Patrick now notices]
",1
63,SpongeBob and Patrick,2," Squidward! Squidward! Squidward! [Squidward stops playing his clarinet]
",1
64,Squidward,2," Hello, my friends. You are looking at a... [he sees how far he is from the surface]
",1
65,SpongeBob and Patrick,2," Squidward!
",1
66,Squidward,2," ...genius. [the bubble explodes in the air and then the ground violently rumbles and shakes. SpongeBob and Patrick look in awe]
",1
67,SpongeBob and Patrick,2," Wow! [the ground stops shaking. The two slowly walk back to their homes. They then speed up and run inside their houses. Squidward's house floats back to the surface. He starts playing his clarinet weakly to the Thankfulness song as the screen fades black, ending the episode]",1
68,"
Movies


The SpongeBob SquarePants Movie


The SpongeBob Movie",3," Sponge Out of Water


SpongeBob SquarePants 3


",1
69,"
The SpongeBob Movie",3," Sponge Out of Water
",1
70,"
Specials


Plankton's Special Sinister Commentary


Square Roots",3," The Story of SpongeBob SquarePants


How to Make SpongeBob SquarePants


Episode-based specials ⇉


",1
71,"
Square Roots",3," The Story of SpongeBob SquarePants
",1
72,"
SpongeBob SquarePants 4-D",3," Ride
",1
73,"
SpongeBob SquarePants 4-D",3," The Great Jelly Rescue!
",1
74,SpongeBob,3," [off-screen] I think I've got it! Wait a minute... [we hear jellyfish stings and SpongeBob and Patrick screaming. The two run back the way they came, being chased by the jellyfish. They fall into a heap in front of Squidward's house. The jellyfish stings both of their backsides and flies off. Just then, Squidward comes out of his house with his bike]
",1
75,Squidward,3," Hm.
",1
76,SpongeBob,3," Hey Squidward, we're jellyfishing.
",1
77,Squidward,3," Of course you are. Bye now. [walks off]
",1
78,SpongeBob,3," Wait! We made a net especially for you! [holds it up] Do you want to come with us?
",1
79,Patrick,3," Patrick.
",1
80,Squidward,3," Right. But I can't. Bye bye.
",1
81,SpongeBob,3," Next time?
",1
82,Squidward,3," Oh sure, right! Whatever. [bikes away; under breath] Like that'll ever happen.
",1
83,SpongeBob,3," You know, Patrick? It always seems like Squidward never has time for fun.
",1
84,Patrick,3," Maybe he doesn't like us.
",1
85,SpongeBob,3," No, are you kidding? We're his best friends. [Squidward bikes down a path, cuckling to himself]
",1
86,Squidward,3," Jellyfishing. [laughs, as he laughs, his nose inflates and deflates] Oh, I'll go. [laughs] I sure had them going. [laughs. But, he doesn't see a jellyfish which is going in the opposite direction. He keeps on laughing. The jellyfish ends up swimming in Squidward's mouth and he coughs it out] Stupid jellyfish! Beat it! [he hits it, and the jellyfish goes up his shirt and starts zapping him. Squidward's legs get tangled on the pedals and he trips on a rock. He bounces down a hill and then falls down a jagged rocky cliff. He reaches the bottom of the cliff and immediately an atomic explosion appears. He groans silently.]
",1
87,SpongeBob,3," Squid's back! [he phones Patrick, which causes the screen to split diagonally, revealing Patrick on the bottom]
",1
88,Patrick,3," Yello?
",1
89,SpongeBob,3," Hey Patrick, Squid's home! And we're gonna make sure he's greeted by his two best friends!
",1
90,Patrick,3," Oh great! Who are they? [it's revealed that the two are phoning each other from across the room, just with different wallpapers]
",1
91,SpongeBob,3," Us! [the two hang up] Let's go! [Squidward wheels himself into his house. The lights suddenly turn on, and SpongeBob and Patrick blow party horns. SpongeBob and Patrick are inside his house with a banner that says ""Welcome Home""] Welcome home, Squidward!
",1
92,Patrick,3," Merry Christmas!
",1
93,SpongeBob,3," We're gonna make this your best day ever! [Squidward turns around and wheels out. SpongeBob rolls him back in] Well, your best day's sure not gonna be out there. [SpongeBob wheels Squidward to a table where Patrick stands by a bowl of soup]
",1
94,Patrick,3," How about some soup on your best day ever? [Squidward looks at the soup and sees Alphabet Soup letters spelling out, ""Best Day Ever"" Patrick holds up a spoon] Here we go! [he scoops some up, but Squidward makes some grunting noises in refusal] Oh, it's a little hot. [he blows on the spoon, sending steaming hot soup splashing all over Squidward's bandaged face. Patrick notices his spoon is empty and refills it to blow on, covering Squidward in more hot soup. This continues for three times until SpongeBob pulls the soup bowl away and laughs nervously]
",1
95,SpongeBob,3," I don't think soup is the best thing for him on his best day ever. [walks near a music stand and Squidward's clarinet] How about some music on your best day ever? Played on your very own clarinet. [he blows into it, but wind comes out causing Squidward to groan] Sorry, my lips are a little dry. [He wets his lips exaggeratedly long and wet. Just when he prepares to blow, Patrick snatches the clarinet away]
",1
96,Patrick,3," Music isn't best either!
",1
97,SpongeBob,3," But what is best is what we saved for last. The one sure-fire thing to make your best day ever the best day ever! [cut to SpongeBob, Patrick and Squidward in Jellyfish Fields. SpongeBob and Patrick hold nets]
",1
98,SpongeBob and Patrick,3," [chanting] Jellyfishing, jellyfishing, jellyfishing, jellyfishing, jellyfishing, jellyfishing, jellyfishing, jellyfishing, jellyfishing!
",1
99,SpongeBob,3," This is Jellyfish Fields, where wild jellyfish roam just waiting to be captured. [Squidward rides away, but SpongeBob catches him] No, no, Squid! Over here! I know you're eager, but you don't even have your net. Pat, fix him up while I find him a good specimen.
",1
100,Patrick,3," Firmly grasp it in your hand. [he places the pole end on Squidward's bandaged hand, but it falls because he can't grab, Patrick picks it up] Firmly grasp it. [he does it again and the results are the same, making Patrick angry] Firmly grasp it! [he forcefully jabs the net through Squidward's bandaged hand. Squidward lets out a muffled pained scream] That oughta do it. [SpongeBob spots a jellyfish]
",1
101,SpongeBob,3," There's one in position. Ready... set... go! [the two yell out words of encouragement to Squidward and jump up and down, but Squidward isn't budging. The two eventually notice Squidward isn't going anywhere. They again encourage him, but still nothing happens]
",1
102,Patrick,3," I think we gotta show him how it's done. [in the tune of ""The Beautiful Blue Danube,"" SpongeBob and Patrick dance along next to the jellyfish and try to catch it. SpongeBob and Patrick sing, and even the jellyfish hums out some music. After several attempts, they get into a big fight with stinging and such. The jellyfish escapes the squabbles and swims by Squidward and stings him on the nose. Squidward, mad, goes after the jellyfish. SpongeBob and Patrick, still getting stung by jellyfish, notice]
",1
103,SpongeBob,3," Hey look! Squid's doing it! [as Squidward chases, SpongeBob and Patrick cheer him on. His wheelchair is stopped by a rock, but he eventually gets back on track. The jellyfish lands on a pink ""rock"" and Squidward catches it. He laughs triumphantly, but muffled due to the bandages and whacks the net against the ""rock"". The ""rock"" surfaces, revealing to be a really huge jellyfish, the Queen Jellyfish. She now floats above Squidward. Squidward gulps. SpongeBob and Patrick look on.]
",1
104,Patrick,3," This guy's good.
",1
105,SpongeBob,3," He's a natural!
",1
106,SpongeBob,3," [Simultaneously cheering] Yeah, you're doing great Squidward!
",1
107,Patrick,3," [Simultaneously cheering] Yeah, you got it Squidward! Yeah, you're doing it Squidward! See who'd you been missing?
",1
108,SpongeBob,3," [Simultaneously cheering] Yeah, you got Squidward! You got it Squidward!
",1
109,Patrick,3," [Simultaneously cheering] You got what you wanted, Squidward! You can do that distance! Use that net!
",1
110,SpongeBob,3," Be the net!
",1
111,Patrick,3," Yeah! You're feeling it Squid! That's it, all the way! The last 6 miles, make that Squid! Go, go, go!
",1
112,SpongeBob,3," [Simultaneously] Yeah, go by the eye of the tiger, by the eye of the tiger, by the eye of the tiger! Better, better, better! Yeah, yeah, yeah! You've got it now!
",1
113,Patrick,3," It's in the bag!
",1
114,SpongeBob,3," This is really your best day ever, isn't it?
",1
115,Both,3,"  Oooh...
",1
116,SpongeBob,3," Hey, Patrick. Well... [sighs] Thought yesterday went... [hesitates] pretty well, don't you think?
",1
117,Patrick,3," I had fun.
",1
118,SpongeBob,3," Me too. [some whirring is heard in the background]
",1
119,Patrick,3," Here comes Squidward!
",1
120,SpongeBob,3," Oh, great. [Squidward comes rolling down the path in a stretcher and in a cast] Hey Squid! How about that... [Squidward rolls down the front walk in a wheeled medical bed with a container of life-saving fluid. Squidward appears with lots more bandages.] ...best day ever?
",1
121,Patrick,3," There's always tomorrow! [Squidward's bed bangs on the door, trying to get in]
",1
122,SpongeBob,3," Um, we're really sorry about what happened yesterday, Squidward. [he bangs the door again] Um, we got you a present! [it's the jellyfish that caused Squidward to encounter the Queen Jellyfish in a jar] It's the jellyfish. [Squidward scowls]
",1
123,Patrick,3," You know, from yesterday!
",1
124,SpongeBob,3," You're not still mad, are you? [Squidward opens the jar towards SpongeBob and Patrick]
",1
125,Patrick,3," Yup, he's still mad. [The jellyfish chases after SpongeBob and Patrick and stings them. Squidward laughs to himself. The Queen Jellyfish returns and zaps him again. Now he's burnt to a crisp. The cast cracks off, leaving a completely blackened Squidward]
",1
126,Squidward,3, Ow.,1
127,"
Movies


The SpongeBob SquarePants Movie


The SpongeBob Movie",4," Sponge Out of Water


SpongeBob SquarePants 3


",1
128,"
The SpongeBob Movie",4," Sponge Out of Water
",1
129,"
Specials


Plankton's Special Sinister Commentary


Square Roots",4," The Story of SpongeBob SquarePants


How to Make SpongeBob SquarePants


Episode-based specials ⇉


",1
130,"
Square Roots",4," The Story of SpongeBob SquarePants
",1
131,"
SpongeBob SquarePants 4-D",4," Ride
",1
132,"
SpongeBob SquarePants 4-D",4," The Great Jelly Rescue!
",1
133,Squidward,4," Wow. Squidward, this is the best soufflé you have ever created. [kisses his hand] Congratulations, chef! [gets dressed, takes a shower, gargles, and brushes his teeth. He re-enters the scene in a tuxedo and sits down at the table. He hears laughter from outside. He goes to the window and notices that SpongeBob and Patrick are playing with bubbles. SpongeBob whispers into a bubble and it floats over to Patrick and pops]
",1
134,SpongeBob Bubble,4," Hi, Patrick.
",1
135,Patrick Bubble,4," Hi, SpongeBob.
",1
136,SpongeBob,4," [whispering into bubble] Patrick, you're my best friend in the whole neighborhood.
",1
137,Squidward Bubble,4," [mimicking SpongeBob] Patrick, you are the dumbest idiot it has ever been my misfortune to know.
",1
138,Patrick Bubble,4," Do you really think that, SpongeBob?
",1
139,SpongeBob,4," [whispering into the bubble] Of course, Patrick. Anyone with eyes can see that. [the bubble floats over to Patrick and pops, followed by another bubble floating back over to SpongeBob]
",1
140,Patrick Bubble,4," Yeah? Well, I think you're ugly. [another bubble comes over and pops] Yellow is ugly! [2 other bubbles, but smaller, float over and pops, both containing raspberry noises for SpongeBob]
",1
141,SpongeBob,4," [talks into the bubble, puzzled] Patrick, what are you talking about?
",1
142,Squidward Bubble,4," [mimicking Patrick] SpongeBob, I no longer wish to know you. [SpongeBob gasps] You give bottom dwellers a bad name.
",1
143,Squidward Bubble,4," [mimicking Patrick] If I had a dollar for every brain you don't have, I'd have one dollar!
",1
144,Squidward Bubble,4," [mimicking SpongeBob] Hey, Patrick, I heard there was a job opening down at the pet shop... as some newspaper!
",1
145,Patrick,4," [stands up and yells at SpongeBob] Well, that makes you a big dummy, you dummy!
",1
146,SpongeBob,4," [stands up and yells at Patrick] Yeah, well, that means that, uhh... so are you!
",1
147,Patrick,4," Right, you're a turkey!
",1
148,SpongeBob,4," What's that? [Squidward arrives outside with a lawn chair and his soufflé]
",1
149,Patrick,4," It's what you are!
",1
150,SpongeBob,4," Well, you're a bigger one!
",1
151,Patrick,4," Well, you're still yellow! And you know what else is yellow?
",1
152,SpongeBob,4," What?
",1
153,Patrick,4," You are!
",1
154,SpongeBob,4," Oh, yeah? Well it doesn't matter what you call me, 'cause I never wanna see you again anyway! [he goes inside through the back door and turns around] Aww, tartar sauce! [shuts door]
",1
155,Squidward,4," [Laughs at Patrick. Puts the soufflé and fork in his mouth.] [Continues laughing. Moves his tentacles around in laughter, then lies back in laughter accidentally swallowing the fork and choking on it. Chokes on the fork repeatedly and his skin turns to a deep shade of blue as the letter ""K"" appears in his left eye and the letter ""O"" appears in his right eye and flashes appears. Squidward passes out and drools]
",1
156,Patrick,4," Wow, Squidward, you're choking! [runs over to Squidward] Uhh... uhh, I know what to do, but I should wash my hands first. Oh, well. [he takes a deep breath and performs CPR on Squidward. As he is doing this, each one of Squidward's tentacles suction cups pops up. Eventually, the fork comes out and Patrick catches it] I win!
",1
157,Squidward,4," Wow! Patrick, you saved me!
",1
158,Patrick,4," I did?
",1
159,Squidward,4," Yup! You're a real lifesaver, friend! [shakes Patrick's hands]
",1
160,Patrick,4," Friend? [holds Squidward] Friend...
",1
161,Squidward,4," [uneasily] Yeah, Patrick, we're friends... [steps back] just friends. [they both notice SpongeBob is gazing from his window with a blank stare]
",1
162,Patrick,4," So what are we gonna do tonight, best friend? [walks with Squidward over to the Easter Island head]
",1
163,Squidward,4," Well, I was going to practice my clarinet solo.
",1
164,Patrick,4," Clarinet? I love music!
",1
165,SpongeBob,4," Ahh, who needs them? They're no fun anyway, right, Gary? [Gary is sleeping inside his shell] Gary? [knocks on his shell]
",1
166,Squidward,4," Squidward will be performing his version of Solitude in E minor.
",1
167,Patrick,4," [sitting on a bench while clapping] Yeah! E minor! All right! Yeah! [Squidward takes a deep breath and plays a note, and Patrick immediately falls asleep, to the annoyance of Squidward. Scene cuts to SpongeBob]
",1
168,SpongeBob,4," Ah, what am I worried about? I got plenty of friends! I can name three right off the bat! [he holds up three fingers] Uhh... [he draws faces on each finger with a broken smile] The gang's all here... [he looks at the faces on his fingers, and his eyes well with tears] Ohhh!
",1
169,Squidward,4," Ow! My back! I threw out my back!
",1
170,SpongeBob,4," [sees Squidward in pain] Oh, boy, now's my chance! [jumps out of the window]
",1
171,Squidward,4," SpongeBob? No, no, stay back!
",1
172,SpongeBob,4," [running] Don't worry, Squidward! I'm coming!
",1
173,Squidward,4," No, no, no, get away from me!
",1
174,SpongeBob,4," Hang on! I'll save you! [rips off his suit revealing a speedo underneath]
",1
175,Squidward,4," [tries to get to his door] No, no! Get away from me! No, no!
",1
176,SpongeBob,4," [jumps off a diving board] Hold on!
",1
177,Squidward,4," No, no! Get away! [screams as SpongeBob dives into his back cracking it back into place] Oh! I'm ruined! I'm... I'm... I'm... I-I feel great! Thanks, SpongeBob! You're a real friend! [SpongeBob smiles big]
",1
178,SpongeBob,4," Friend...
",1
179,Squidward,4," N-no, no, no, I didn't mean that, no-no.
",1
180,SpongeBob,4," Don't worry, Squiddy, old-pal. That's what friends are for. [Squidward and SpongeBob walk into the Easter Island head] So dumb Patrick fell asleep on ya, huh? Some friend. A real friend would perform for you!
",1
181,Squidward,4," You play?
",1
182,SpongeBob,4," Are you kidding? I've been playing bassinet for years! [he takes one from the wall] Give me an A, buddy! [Squidward plays a note and SpongeBob sings] Squidward is my best friend in the world. [grates strings with bow] Squidward is my best friend in the sea...
",1
183,SpongeBob,4," [now playing with his fingers like a guitar] Squidward...
",1
184,Patrick,4," [opens the window] Likes Patrick more than SpongeBob. [SpongeBob slams the window] Oh!
",1
185,SpongeBob,4," [strums harder] And Patrick is a dirty, stinky, rotten friend stealer! [smashes double bass on the ground] Umm, I can fix this. [Squidward is steaming red in fury]
",1
186,Squidward,4," Grrrrrryehhhhherrrryeh! [he kicks SpongeBob out]
",1
187,SpongeBob,4," ...So, uhh, I'll see you tomorrow, Squidward! Call me!
",1
188,Squidward,4," Yech! That was disgusting! I feel like I need to scrub myself. [opens up the curtain and screams after he sees Patrick in his tub]
",1
189,Patrick,4," Hey, buddy. I warmed it up for ya. [shows him a brush and soap]
",1
190,Squidward,4," Patrick! Get out! And put some clothes on! [SpongeBob peeks in through the upstairs window]
",1
191,SpongeBob,4," What's the matter, Squidward, old buddy? [notices Patrick in the bath-tub] Oh, ho-ho, so this is what I find, huh? My best friend and my ex-best friend and... [shown bath toys] ...rubber bath toys!
",1
192,Patrick,4," [simultaneously] Oh, yeah?! Well, he was my friend first!
",1
193,SpongeBob,4," [simultaneously] You're just a backbiting, backstabbing silly blob of...
",1
194,Squidward,4," [screams] This can't be happening to me! [Squidward runs away]
",1
195,SpongeBob and Patrick,4," Squidward?!
",1
196,SpongeBob,4," Buddy?!
",1
197,Patrick,4," Squidward?!
",1
198,SpongeBob,4," Where'd ya go, friend?
",1
199,Patrick,4," Where are ya, ol buddy?
",1
200,Squidward,4," [in a trash can] Oh, this is nuts! I need a plan to get those two back together and out of my hair!
",1
201,SpongeBob,4," [reading a magazine as the doorbell rings a letter is pushed under the door. Then he smells it] Squidward. [opens it] A dinner party? I'd love to! [SpongeBob knocks on Squidward's door and Squidward opens it] Did you miss me?
",1
202,Squidward,4," Come on in! You look stunning. [shuts door]
",1
203,SpongeBob,4," I'd much rather dine with you than that lousy... [gasps when he sees Patrick] Say, what gives? I'm not sitting near that maniac!
",1
204,Patrick,4," Me neither! This was a setup!
",1
205,Squidward,4," I thought you two were my best friends.
",1
206,SpongeBob and Patrick,4," I am your best friend!
",1
207,Squidward,4," [takes out a bottle of soda] Well, how about some soda, guys? [SpongeBob shows him his glass]
",1
208,SpongeBob,4," Yes, please! [Squidward gives him some soda] Thanks, friend. [flicks Squidward's nose] [drinks]
",1
209,Patrick,4," How about some for your best friend? [SpongeBob puts his glass in front of Patrick's, so he gets the soda instead of Patrick]
",1
210,SpongeBob,4," Thanks, best friend! [drinks]
",1
211,Patrick,4," Can I have some now, buddy?
",1
212,SpongeBob,4," Wait, I need some more! [pours SpongeBob another glass]
",1
213,Patrick,4," I still didn't get any! [SpongeBob gives Patrick his soda]
",1
214,SpongeBob,4," There ya go. More please! [Squidward fills his glass as SpongeBob drinks it really fast]
",1
215,Patrick,4," [shows Squidward his glass] Squidward!
",1
216,SpongeBob,4," [shows Squidward his glass] Squidward!
",1
217,Patrick,4," [shows Squidward his glass] Hey, Squidward!
",1
218,SpongeBob,4," [shows Squidward his glass] Squidward!
",1
219,Patrick,4," [shows Squidward his glass] Squidward! [shows Squidward his glass again but it's still full] Squidward!
",1
220,Squidward,4," Patrick! Your glass is full!
",1
221,Patrick,4," Oh, yeah...
",1
222,SpongeBob,4," [shows Squidward his glass] Squidward!
",1
223,Patrick,4," [shows Squidward his glass] Hey, Squidward!
",1
224,SpongeBob,4," [shows Squidward his glass] Squidward!
",1
225,Patrick,4," [shows Squidward his glass] Squidward!
",1
226,SpongeBob,4," [shows Squidward his glass] Squidward!
",1
227,Patrick,4," [shows Squidward his glass] Hey, Squidward!
",1
228,SpongeBob,4," [shows Squidward his glass] Squidward!
",1
229,Patrick,4," [shows Squidward his glass] Hey, Squidward!
",1
230,SpongeBob,4," [shows Squidward his glass] Squidward!
",1
231,Patrick,4," [shows Squidward his glass] Squidward!
",1
232,SpongeBob,4," [shows Squidward his glass] Squidward!
",1
233,Patrick,4," [shows Squidward his glass] Hey, Squidward!
",1
234,SpongeBob and Patrick,4," [both show Squidward their glasses] Squidward!
",1
235,Squidward,4," Sorry, boys, I'm all out of pop. I'm gonna go get some more. [walks away] Why don't you just stay here and chat? [closes door. Then we see SpongeBob and Patrick. They are extremely fat and not wanting to look at each other. Then SpongeBob hiccups and a bubble floats up and pops that sounds like a burp. Both of them laugh and the entire house is full of bubbles as Squidward walks up to his door with a grocery bag. Then an explosion and crashing sounds are heard] I should just walk away right now. [opens door to find his house destroyed] What a surprise... I invited them in, and I left them alone. Well, Squidward, what have we learned today? [pieces around the door break]
",1
236,SpongeBob,4," Guess what, Squidward? [both hug]
",1
237,Patrick,4," Me and SpongeBob are friends again!
",1
238,Squidward,4," Great, now go be friends somewhere else.
",1
239,SpongeBob,4," Don't you want us to help you clean this up a little?
",1
240,Squidward,4," NO! Out! [both walk out]
",1
241,SpongeBob,4," Psst, I think he's jealous.
",1
242,Patrick,4," How pathetic. [Squidward shuts door hard and when he turns around as a bubble comes and pops on the door which causes the door to fall on his back]
",1
243,Squidward,4," Ohhhhh, my back.",1
244,"
Movies


The SpongeBob SquarePants Movie


The SpongeBob Movie",5," Sponge Out of Water


SpongeBob SquarePants 3


",1
245,"
The SpongeBob Movie",5," Sponge Out of Water
",1
246,"
Specials


Plankton's Special Sinister Commentary


Square Roots",5," The Story of SpongeBob SquarePants


How to Make SpongeBob SquarePants


Episode-based specials ⇉


",1
247,"
Square Roots",5," The Story of SpongeBob SquarePants
",1
248,"
SpongeBob SquarePants 4-D",5," Ride
",1
249,"
SpongeBob SquarePants 4-D",5," The Great Jelly Rescue!
",1
250,Squidward,5," [Scene starts at the Krusty Krab with SpongeBob cleaning a table] Hurry up with those chairs, SpongeBob, it's after closing and I'd like to go home.
",1
251,SpongeBob,5," I got it, I got it! Coming. [leaps for the phone but Squidward answers it first. SpongeBob falls to the floor]
",1
252,Squidward,5," Hello? Sorry, sir, we're close... [Mr. Krabs snatches phone]
",1
